1874, Henry “Ragtime Texas” Thomas is born.
1877,Invention of the Phonograph
1883,Racist coon songs introduced into vaudeville and burlesque
1890,"Rise of Jim Crow- Southern states move to the ""Jim Crow"" system of legal segregation, passing laws to circumscribe many aspects of African-American life and producing, in effect, a quasi-slave society reinforced by the economics of the sharecropping system. Racial violence and lynchings increase."
1896, W.C. Handy travels with various shows (Knights of Pythias famously in 1903) as a musician & director
1896,Jim Crow Segregation laws
1897,World’s first radio station on the Isle of Wight
1899," Scott Joplin publishes “Maple Leaf Rag”, making ragtime main influence on the Piedmont style of blues."
1899,"Scott Joplin publishes ""Maple Leaf Rag."" Ragtime will become a key influence on the Piedmont style of blues."
1902,"Black Music First Recorded-Victor Records issues the first known recording of black music, ""Camp Meeting Shouts."""
1903,"W.C. Handy sees a ""ragged loose-jointed black"" playing the guitar in a Tutwiler, Mississippi railroad station. The unknown guitarist used a knife as a slide to play the guitar. Handy remarked ""The event was unforgettable. His song, too, struck me instantly. Goin' where the Southern cross the Dog."
1903, Miss. John Hurt first picks up the guitar
1903," Sam Chatmon, 1/2 brother of Charley Patton (and sometime teacher), remembers that he was 4 years old and already singing blues songs that his family taught him (though they were not called the Blues yet for another few years)"
1903," W.C. Handy first hears the blues at the train station, and first realizes it’s importance and impact at a dance in Cleveland, Mississippi later that year."
1903,Bluesman Discovered-The musician W.C. Handy sees a bluesman playing guitar with a knife at a train station in Mississippi.
1903,"W.C. Handy sees a “ragged loose-jointed black” playing the guitar in a Tutwiler, Mississippi railroad station. The unknown guitarist used a knife as a slide to play the guitar. Handy remarked “The event was unforgettable. His song, too, struck me instantly. Goin’ where the Southern cross the Dog."
1904," Ma Rainey first ran across the style of music that would be officially known as The Blues in just a few short years, and begins incorporating Blues songs into her show right away, becoming one of the first really known performers of The Blues"
1908,Introduction of double-sided gramophone records
1910," The form of music known as “The Blues” was first known as such (IOW, it finally got it’s name)"
1910, The “Blues Craze” starts
1911, Tommy Johnson first left home. On his travels he met Charlie Patton & Willie Brown.
1912," The first blues songs, including W.C. Handy’s “Memphis Blues”, are published as sheet music."
1912," W.C. Handy publishes Memphis Blues, crystalizing (moreso w/ St Louis Blues) what we know today as the classic blues form of the 12 bar blues.. Lighning Hopkins was born. He remembers as a child leading around Blind Lemon Jefferson."
1912," “N*gger Blues” copyrighted by a white minstrel performer in Dallas, Tx."
1912,"Blues Songs First Recorded-The first blues songs, including W.C. Handy's ""Memphis Blues"", are published as sheet music."
1912,"The first appearance of the word 'blues' in a piece of music: ""The Dallas Blues"" by Hart Wand. The story goes that a black porter overheard Hart playing his violin and the porter remarked ""That give me the blues to go back to Dallas."""
1912,The first appearance of the word ‘blues’ in a piece of music: “The Dallas Blues” by Hart Wand. The story goes that a black porter overheard Hart playing his violin and the porter remarked “That give me the blues to go back to Dallas.”
1912,1st blues song published - W.C. Handy’s Memphis Blues
1914, The Mississippi Shieks Formed (Half brothers of Charley Patton) & performed around Miss. (AllMusic says formed in 1926 lasted until 1935)
1914," the first recording of the Blues, despite what other historians may state."
1915, Charley Patton had his style down and was popular all over the Dockery Plantation (didn’t record for H.C. Speir until 1929)
1916, “N*gger Blues” recorded by George O’Conner 
1917, By this time Blind Lemon Jefferson was widely known s was his music all throughout the South
1917, The United States enters World War I. Military and economic mobilization starts the great internal migration of African-Americans.
1917,The Great Migration-The United States enters World War I. Military and economic mobilization accelerates the great internal migration of African-Americans that is already underway.
1917,Closure of Storyville - musicians move from New Orleans to Chicago & New York
1919, Composer “Georgia” Thomas Dorsey joins Ma Rainey’s travelling show.
1919,Victor & Columbia monopoly on record production broken
1920, Mamie Smith records “Crazy Blues” and it becomes the first blues hit
1920, Bessie Smith records “Crazy Blues” 
1920,"Mamie Smith records ""Crazy Blues"", the first of the Race Records. Race Records, was the term used by recording companies at the time for recordings of black artists with the target audience of black Americans."
1920,"Mamie Smith-Mamie Smith records for Okeh Records. Her ""Crazy Blues"" becomes the first blues hit, beginning the business of ""race"" recording."
1920,"Mamie Smith records “Crazy Blues”, the first of the Race Records. Race Records, was the term used by recording companies at the time for recordings of black artists with the target audience of black Americans."
1920,1st American Radio Station
1921,Crazy Blues by Mamie Smith
1923, Ma Rainey 
1923,"Bessie Smith and Ma Rainey-Bessie Smith and Ma Rainey, the defining performers of the classic blues, make their recording debuts."
1923,"Folk Blues Debuts-Ralph Peer, the famous Artist & Repertory man for Okeh and Victor Records, makes his first field recordings in Atlanta, Georgia, marking the recording debut of both the folk blues and what will later be called country music."
1923,Charleston dance premiered
1924,"First Folk Blues Records-The first male folk blues records, featuring singers Papa Charlie Jackson and Daddy Stovepipe, are issued."
1925, Blind Lemon Jefferson- essentially the first recorded Blues Guitarist
1925," Blind Lemon Jefferson, the dominant blues figure of the late 1920s recorded first song"
1925, Electrical recording technology is introduced and blues music is available for wider audience
1925, Lonnie Johnson’s first recordings (more jazz than blues)
