GISJOIN,YEAR,STATE,STATEA,COUNTYA,AREANAME,BCZ001,BCZ002,BC0001
"G010","1930","Alabama","010",,"Alabama",1700844,945404,944834
"G025","1930","Alaska Territory","025",,"Alaska Territory",,,
"G040","1930","Arizona","040",,"Arizona",378551,57022,10749
"G050","1930","Arkansas","050",,"Arkansas",1375315,479167,478463
"G060","1930","California","060",,"California",5408260,268991,81048
"G080","1930","Colorado","080",,"Colorado",1018793,16998,11828
"G090","1930","Connecticut","090",,"Connecticut",1576700,30203,29354
"G100","1930","Delaware","100",,"Delaware",205718,32662,32602
"G110","1930","District Of Columbia","110",,"District of Columbia",353981,132888,132068
"G120","1930","Florida","120",,"Florida",1035390,432821,431828
"G130","1930","Georgia","130",,"Georgia",1837021,1071485,1071125
"G155","1930","Hawaii Territory","155",,"Hawaii Territory",,,
"G160","1930","Idaho","160",,"Idaho",438840,6192,668
"G170","1930","Illinois","170",,"Illinois",7295267,335387,328972
"G180","1930","Indiana","180",,"Indiana",3125778,112725,111982
"G190","1930","Iowa","190",,"Iowa",2452677,18262,17380
"G200","1930","Kansas","200",,"Kansas",1811997,69002,66344
"G210","1930","Kentucky","210",,"Kentucky",2388452,226137,226040
"G220","1930","Louisiana","220",,"Louisianna",1322712,778881,776326
"G230","1930","Maine","230",,"Maine",795185,2238,1096
"G240","1930","Maryland","240",,"Maryland",1354226,277300,276379
"G250","1930","Massachusetts","250",,"Massachusetts",4192992,56622,52365
"G260","1930","Michigan","260",,"Michigan",4663507,178818,169453
"G270","1930","Minnesota","270",,"Minnesota",2542599,21354,9445
"G280","1930","Mississippi","280",,"Mississippi",998077,1011744,1009718
"G290","1930","Missouri","290",,"Missouri",3403876,225491,223840
"G300","1930","Montana","300",,"Montana",519898,17708,1256
"G310","1930","Nebraska","310",,"Nebraska",1360023,17940,13752
"G320","1930","Nevada","320",,"Nevada",84515,6543,516
"G330","1930","New Hampshire","330",,"New Hampshire",464351,942,790
"G340","1930","New Jersey","340",,"New Jersey",3829663,211671,208828
"G350","1930","New Mexico","350",,"New Mexico",391095,32222,2850
"G360","1930","New York","360",,"New York",12153192,434875,412814
"G370","1930","North Carolina","370",,"North Carolina",2234958,935318,918647
"G380","1930","North Dakota","380",,"North Dakota",671851,8994,377
"G390","1930","Ohio","390",,"Ohio",6335173,311524,309304
"G400","1930","Oklahoma","400",,"Oklahoma",2130778,265262,172198
"G410","1930","Oregon","410",,"Oregon",938597,15189,2234
"G420","1930","Pennsylvania","420",,"Pennsylvania",9196008,435343,431257
"G440","1930","Rhode Island","440",,"Rhode Island",677026,10471,9913
"G450","1930","South Carolina","450",,"South Carolina",944049,794716,793681
"G460","1930","South Dakota","460",,"South Dakota",670269,22580,646
"G470","1930","Tennessee","470",,"Tennessee",2138644,477912,477646
"G480","1930","Texas","480",,"Texas",4967172,857543,854964
"G490","1930","Utah","490",,"Utah",499967,7880,1108
"G500","1930","Vermont","500",,"Vermont",358966,645,568
"G510","1930","Virginia","510",,"Virginia",1770441,651410,650165
"G530","1930","Washington","530",,"Washington",1521661,41735,6840
"G540","1930","West Virginia","540",,"West Virginia",1614191,115014,114893
"G550","1930","Wisconsin","550",,"Wisconsin",2916255,22751,10739
"G560","1930","Wyoming","560",,"Wyoming",221241,4324,1250
