GISJOIN,YEAR,STATE,STATEA,COUNTY,COUNTYA,AREANAME,BDJ001,BDJ002,BDJ003,BDJ004,BDJ005,BDJ006,BDJ007,BDJ008,BDJ009,BDJ010,BDJ011,BDJ012,BDJ013,BDJ014,BDJ015,BDJ016,BDJ017,BDJ018,BDJ019,BDJ020,BDJ021,BDJ022,BDJ023,BDJ024,BDJ025,BDJ026,BDJ027,BDJ028,BDJ029,BDJ030,BDJ031,BDJ032,BDJ033,BDJ034,BDJ035,BDJ036,BDJ037,BDJ038,BDJ039,BDJ040,BDJ041,BDJ042,BDJ043,BDJ044,BDJ045,BDJ046,BDJ047,BDJ048,BDJ049,BDJ050,BDJ051,BDJ052,BDJ053,BDJ054,BDJ055,BDJ056,BDJ057,BDJ058,BDJ059,BDJ060,BDJ061,BDJ062,BDJ063,BDJ064,BDJ065,BDJ066,BDJ067,BDJ068,BDJ069,BDJ070,BDJ071,BDJ072,BDJ073,BDJ074,BDJ075,BDJ076,BDJ077,BDJ078,BDK001,BDK002,BDK003,BDK004,BDK005,BDK006
"G0100010","1930","Alabama","010","Autauga","0010","Autauga",544,602,512,479,393,293,231,422,485,307,161,63,0,501,540,499,479,427,306,243,472,391,234,140,63,0,682,779,673,656,454,330,237,380,626,291,147,58,7,645,724,667,659,534,427,297,662,512,248,123,80,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4492,4295,5320,5587,0,0
"G0100030","1930","Alabama","010","Baldwin","0030","Baldwin",1271,1331,1253,1216,877,710,559,1149,1111,835,591,233,5,1211,1232,1190,1160,847,684,599,1174,997,685,377,184,3,437,435,397,355,303,271,174,309,424,192,100,41,1,403,429,393,413,384,257,172,375,295,114,68,55,1,0,1,0,2,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,11141,10343,3439,3359,5,2
"G0100050","1930","Alabama","010","Barbour","0050","Barbour",777,835,831,781,590,521,382,705,693,430,215,103,9,751,873,833,729,652,515,415,747,648,372,228,126,5,1105,1402,1228,1178,741,547,394,678,848,443,244,101,5,1163,1322,1231,1218,989,708,502,1054,778,396,245,136,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6872,6894,8914,9745,0,0
"G0100070","1930","Alabama","010","Bibb","0070","Bibb",942,936,878,772,633,513,406,693,669,393,262,109,5,851,912,779,786,587,503,375,680,594,301,216,107,2,473,456,384,363,397,296,204,260,463,183,85,34,5,392,426,358,394,401,286,166,368,261,127,57,36,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7211,6693,3603,3273,0,0
"G0100090","1930","Alabama","010","Blount","0090","Blount",1897,1960,1754,1660,1276,942,716,1218,1204,707,335,141,0,1776,1854,1665,1489,1345,929,713,1369,982,576,300,142,1,70,73,60,70,50,36,27,50,72,33,17,8,0,52,74,55,62,48,32,28,65,44,20,15,7,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13810,13141,566,503,0,0
"G0100110","1930","Alabama","010","Bullock","0110","Bullock",197,232,249,242,170,117,140,261,240,139,96,47,0,182,222,235,241,167,129,124,279,248,138,111,55,1,860,1105,1111,1021,581,340,278,538,848,429,216,130,1,912,1034,1097,1110,716,491,416,1029,782,353,218,136,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2130,2132,7458,8296,0,0
"G0100130","1930","Alabama","010","Butler","0130","Butler",972,950,977,873,677,506,438,817,738,451,255,123,4,913,971,935,826,681,536,455,890,712,422,255,134,2,918,983,947,819,584,426,269,503,749,359,192,82,2,1023,1048,993,996,782,564,363,845,641,331,163,96,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7781,7732,6833,7849,0,0
"G0100150","1930","Alabama","010","Calhoun","0150","Calhoun",2652,2763,2479,2316,2134,1653,1380,2326,2010,1035,596,257,0,2588,2657,2301,2420,2269,1788,1430,2417,1829,950,575,245,1,689,716,653,637,610,561,355,576,698,289,146,63,0,720,783,685,797,777,594,413,799,550,238,123,63,1,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,21601,21470,5993,6543,3,1
"G0100170","1930","Alabama","010","Chambers","0170","Chambers",1248,1324,1245,1238,966,748,638,1140,1030,594,325,133,4,1133,1248,1247,1257,1078,859,665,1225,1004,561,320,154,1,1066,1258,1256,1113,761,530,364,559,967,432,185,71,0,1103,1270,1239,1300,924,700,484,1007,769,322,155,89,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10633,10752,8562,9366,0,0
"G0100190","1930","Alabama","010","Cherokee","0190","Cherokee",1243,1219,1218,1082,881,608,516,840,894,479,259,98,0,1183,1230,1201,1027,849,638,500,926,741,385,244,127,0,110,138,151,113,73,67,38,42,94,60,25,9,0,143,145,118,110,98,66,40,87,59,32,6,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9337,9051,920,911,0,0
"G0100210","1930","Alabama","010","Chilton","0210","Chilton",1329,1439,1336,1242,898,618,545,1016,1028,564,341,168,1,1188,1351,1242,1085,903,711,585,1125,897,508,319,165,7,228,268,273,254,175,113,72,121,216,122,57,31,2,261,294,253,248,186,146,97,204,179,91,48,28,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10525,10086,1932,2036,0,0
"G0100230","1930","Alabama","010","Choctaw","0230","Choctaw",610,659,547,502,425,336,273,467,490,282,166,64,10,564,604,533,447,413,345,252,469,384,214,138,74,8,696,717,693,692,579,430,247,455,645,293,132,56,25,697,728,659,667,666,429,338,562,422,225,98,70,15,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4831,4445,5660,5576,1,0
"G0100250","1930","Alabama","010","Clarke","0250","Clarke",737,744,743,724,571,393,373,709,667,372,239,103,1,679,740,715,652,524,406,388,685,572,316,230,104,3,866,963,872,815,649,413,254,470,805,415,176,85,4,817,880,814,816,737,473,356,756,599,303,163,116,8,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6376,6014,6787,6838,1,0
"G0100270","1930","Alabama","010","Clay","0270","Clay",912,988,983,881,658,456,403,728,681,473,283,129,0,926,951,942,820,660,522,454,758,639,407,241,146,0,189,186,164,176,159,96,53,80,171,70,28,16,0,191,177,187,176,151,89,75,122,107,29,22,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7575,7466,1388,1339,0,0
"G0100290","1930","Alabama","010","Cleburne","0290","Cleburne",814,877,771,693,517,409,348,569,518,326,196,102,2,857,791,772,628,585,424,324,603,435,287,170,88,3,51,49,56,50,52,31,22,25,43,20,6,5,0,34,52,46,39,38,31,23,37,25,15,8,8,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6142,5967,410,356,2,0
"G0100310","1930","Alabama","010","Coffee","0310","Coffee",1780,1798,1720,1571,1126,849,745,1222,1049,611,345,132,6,1708,1792,1593,1470,1215,957,762,1377,863,540,295,132,4,475,484,473,443,315,237,183,248,352,147,62,23,5,436,489,458,419,347,318,213,361,221,96,58,24,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12954,12708,3447,3447,0,0
"G0100330","1930","Alabama","010","Colbert","0330","Colbert",1337,1456,1269,1171,862,738,660,1246,1004,578,305,108,2,1316,1413,1271,1127,979,795,721,1246,855,526,270,119,3,417,531,513,465,377,293,224,370,473,251,102,55,3,477,536,494,485,460,379,266,571,385,198,91,66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,10736,10641,4074,4408,0,1
"G0100350","1930","Alabama","010","Conecuh","0350","Conecuh",919,987,928,862,612,427,371,744,704,364,249,121,1,916,932,837,826,636,444,419,804,585,339,211,96,0,701,820,753,655,453,326,195,399,628,278,141,50,0,766,768,743,707,563,379,287,604,479,210,124,66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7289,7045,5399,5696,0,0
"G0100370","1930","Alabama","010","Coosa","0370","Coosa",484,538,501,428,320,218,204,394,412,252,187,63,0,431,489,494,430,311,230,221,439,364,211,122,77,0,322,351,303,355,226,150,80,140,202,119,66,39,0,323,313,323,314,228,143,100,224,160,82,46,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4001,3819,2353,2287,0,0
"G0100390","1930","Alabama","010","Covington","0390","Covington",2185,2274,2197,2067,1629,1148,929,1649,1560,871,446,208,4,2046,2243,2029,2139,1796,1255,1085,1821,1356,736,410,187,8,405,453,411,433,332,243,168,296,433,190,76,28,1,420,468,380,454,426,294,210,449,294,117,56,40,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17167,17111,3469,3609,0,0
"G0100410","1930","Alabama","010","Crenshaw","0410","Crenshaw",1020,1062,1068,943,667,523,498,844,771,457,283,108,1,935,1077,1010,913,725,586,479,909,657,424,252,143,0,477,527,509,433,331,211,137,233,398,163,79,32,1,483,530,496,502,390,289,165,379,292,129,76,38,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8245,8110,3531,3770,0,0
"G0100430","1930","Alabama","010","Cullman","0430","Cullman",2837,2919,2724,2452,1774,1391,1064,1888,1792,992,531,241,10,2768,2866,2567,2294,1868,1402,1125,2080,1550,807,451,209,8,31,30,30,27,27,18,9,12,20,15,7,3,0,39,30,15,30,26,17,3,22,13,12,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20615,19995,229,212,0,0
"G0100450","1930","Alabama","010","Dale","0450","Dale",1138,1176,1106,1013,787,601,489,837,834,465,299,134,8,1079,1166,1059,976,843,638,553,957,708,455,284,158,2,353,394,352,335,244,178,112,186,271,119,58,32,3,358,371,362,352,318,219,140,273,189,102,55,32,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8887,8878,2637,2773,0,0
"G0100470","1930","Alabama","010","Dallas","0470","Dallas",691,766,697,662,576,537,439,943,804,488,242,105,1,614,742,736,721,656,611,552,980,770,481,277,130,6,2300,2532,2503,2401,1575,1094,816,1831,1597,1461,724,284,15,2342,2463,2288,2659,2196,1531,1260,2701,2083,1207,673,320,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6951,7276,19133,21734,0,0
"G0100490","1930","Alabama","010","DeKalb","0490","Dekalb",2700,2711,2592,2254,1792,1373,1080,1794,1713,957,517,232,2,2679,2668,2418,2295,1897,1473,1152,1912,1477,905,447,211,2,62,51,44,44,45,26,20,48,31,28,18,5,0,57,53,47,36,61,33,27,48,33,17,5,11,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19717,19536,422,429,0,0
"G0100510","1930","Alabama","010","Elmore","0510","Elmore",1177,1260,1239,1253,1024,752,642,1117,1005,609,295,116,3,1167,1224,1161,1059,953,682,602,1079,815,474,249,136,4,873,986,873,826,683,502,339,565,797,389,159,84,9,924,946,788,858,753,547,395,764,604,261,138,109,10,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10492,9605,7085,7097,1,0
"G0100530","1930","Alabama","010","Escambia","0530","Escambia",1221,1335,1127,1135,984,725,589,1017,910,496,275,98,2,1182,1185,1144,1073,890,672,538,960,752,428,218,98,2,462,536,485,489,465,312,253,453,490,240,95,45,0,477,525,506,571,438,311,280,513,334,154,81,43,0,21,26,24,33,15,10,9,12,7,7,2,1,0,30,28,25,32,17,8,7,17,12,4,1,1,0,9914,9142,4325,4233,167,182
