GISJOIN,YEAR,STATE,STATEA,COUNTYA,AREANAME,BDJ001,BDJ002,BDJ003,BDJ004,BDJ005,BDJ006,BDJ007,BDJ008,BDJ009,BDJ010,BDJ011,BDJ012,BDJ013,BDJ014,BDJ015,BDJ016,BDJ017,BDJ018,BDJ019,BDJ020,BDJ021,BDJ022,BDJ023,BDJ024,BDJ025,BDJ026,BDJ027,BDJ028,BDJ029,BDJ030,BDJ031,BDJ032,BDJ033,BDJ034,BDJ035,BDJ036,BDJ037,BDJ038,BDJ039,BDJ040,BDJ041,BDJ042,BDJ043,BDJ044,BDJ045,BDJ046,BDJ047,BDJ048,BDJ049,BDJ050,BDJ051,BDJ052,BDJ053,BDJ054,BDJ055,BDJ056,BDJ057,BDJ058,BDJ059,BDJ060,BDJ061,BDJ062,BDJ063,BDJ064,BDJ065,BDJ066,BDJ067,BDJ068,BDJ069,BDJ070,BDJ071,BDJ072,BDJ073,BDJ074,BDJ075,BDJ076,BDJ077,BDJ078,BDK001,BDK002,BDK003,BDK004,BDK005,BDK006
"G010","1930","Alabama","010",,"Alabama",104869,108747,98970,92599,78627,64070,53764,94349,81102,45892,24413,9850,270,101091,105175,95462,92263,83604,67316,55471,96183,71837,40905,23073,10555,318,53478,58961,54626,51787,43513,34896,24914,45016,50179,23895,10828,4720,331,54358,58747,54308,57429,53560,42622,30645,59246,41693,18943,10108,5681,350,34,41,37,47,33,33,24,37,28,22,5,2,0,52,42,37,43,24,17,15,31,23,7,3,2,0,857522,843253,457144,487690,343,296
"G025","1930","Alaska Territory","025",,"Alaska Territory",754,812,748,696,927,1342,1429,3945,4240,3131,1531,295,54,727,770,697,564,671,832,825,1785,1146,489,167,49,14,,,,,,,,,,,,,,,,,,,,,,,,,,,2486,2284,1871,1699,1374,1021,768,1672,1330,823,358,136,38,2389,2212,1779,1776,1287,976,740,1442,1115,630,267,132,33,19904,8736,,,15860,14778
"G040","1930","Arizona","040",,"Arizona",12495,13748,12318,11800,12276,12021,11359,22098,16614,9901,4938,1755,214,12000,12868,11857,11309,11488,11186,10328,18336,12347,6678,3185,1140,119,396,407,368,460,743,664,711,1357,781,315,100,36,14,397,424,359,328,385,499,467,839,455,145,63,24,12,12425,11467,9059,7991,8080,7135,5705,9497,6227,3333,1543,863,90,12374,11543,8900,8093,7481,6128,4880,7865,4984,2586,1294,827,76,141537,122841,6352,4397,83415,77031
"G050","1930","Arkansas","050",,"Arkansas",80468,86606,80094,76123,61592,49656,42372,80067,67611,44036,23608,9727,301,78146,83847,77906,73947,64356,51492,42895,77598,58617,36023,18750,8837,231,24660,27496,26514,25017,22831,18545,14510,27635,27691,13817,5653,2403,137,25297,27737,26397,27528,26425,21619,16921,31679,21735,9514,4336,2261,105,73,68,59,69,65,75,52,79,75,37,14,4,3,65,74,43,50,39,35,26,59,28,13,6,1,1,702261,672645,236909,241554,673,440
"G060","1930","California","060",,"California",164601,194849,185590,188352,207739,219884,218524,438153,351937,224386,128072,48329,7018,158355,189087,181099,190174,206145,210770,210483,405034,316022,214295,125602,50607,5140,2635,3030,2638,2615,3033,3730,4101,8245,5880,2566,1001,392,186,2648,2998,2784,2950,3678,4438,4211,8116,5234,2295,1080,471,93,38894,38137,26487,24337,35308,36976,27873,45475,31206,12767,4786,1728,1135,38234,37293,25528,20256,19224,20231,17472,27096,14747,6542,2769,1288,167,2577434,2462813,40052,40996,325109,230847
"G080","1930","Colorado","080",,"Colorado",42637,47646,46270,43928,39943,35240,34470,70513,57453,39861,24285,8514,361,41734,46330,44642,44376,40585,36345,34719,66378,52106,35284,19541,7683,273,389,369,360,353,384,444,482,1109,985,520,243,91,10,384,406,397,430,508,551,567,1140,943,430,235,88,10,5268,4945,3703,3038,3010,2637,2192,4493,2704,1195,481,194,32,5258,5084,3568,3007,2483,2093,1761,3034,1474,745,288,144,15,491121,469996,5739,6089,33892,28954
"G090","1930","Connecticut","090",,"Connecticut",66361,75539,79545,72235,62675,57069,57818,121260,90443,59564,31719,11271,519,63524,74041,78126,73543,66434,60593,60568,117566,85378,61196,34472,14825,389,1459,1426,1122,1091,1184,1521,1392,2427,1626,825,341,145,14,1510,1474,1225,1225,1485,1496,1240,2358,1505,746,343,163,11,22,28,12,17,72,89,114,149,96,78,23,8,4,23,22,16,12,12,15,12,21,14,8,4,5,0,786018,790655,14573,14781,712,164
"G100","1930","Delaware","100",,"Delaware",8263,9760,9846,9236,8770,7852,7788,15028,11874,8353,5286,2060,84,8229,9310,9783,8947,8355,7552,7584,14289,11537,8176,5321,2377,34,1391,1622,1485,1503,1573,1478,1283,2603,2037,1151,591,251,15,1396,1626,1500,1482,1415,1341,1194,2249,1704,919,530,258,5,3,1,0,4,9,17,7,18,8,3,3,1,0,1,2,0,1,0,1,1,3,1,0,0,0,0,104200,101494,16983,15619,74,10
"G110","1930","District Of Columbia","110",,"District of Columbia",11337,12449,11559,12105,16344,16290,15421,27618,21195,14521,7116,2534,493,10903,12272,11622,12975,17521,16701,17191,30418,24186,17218,9206,4084,635,5036,5314,4432,4757,6472,6994,5889,10290,7680,3240,1357,444,320,4970,5524,5052,5918,7934,7995,6471,11427,8184,3546,1708,782,332,25,34,24,37,93,117,101,130,55,38,18,2,2,33,31,23,14,23,23,22,30,6,4,1,1,0,168982,184932,62225,69843,676,211
"G120","1930","Florida","120",,"Florida",51668,53853,50914,46848,42631,40102,37001,70941,56251,38994,23007,9223,383,49621,52707,49730,47907,46704,42153,38578,69819,52174,35506,19848,8263,379,20095,22324,20862,20002,22145,21785,16793,31129,23192,10735,4238,1593,255,20346,23126,21254,23353,26257,24165,17610,30455,17867,7039,3372,1616,220,56,62,58,44,44,66,88,124,86,58,18,7,0,46,55,63,61,33,28,49,59,42,14,11,6,0,521816,513389,215148,216680,711,467
"G130","1930","Georgia","130",,"Georgia",101927,110979,105316,101179,85859,67889,59565,109303,86628,53320,27574,10696,546,98426,108871,102120,99401,89897,72741,62411,110520,82826,48814,27356,12394,416,57436,66258,65689,63755,50174,36286,27084,51219,48073,28901,12805,5338,433,58580,67768,65704,70461,62160,45966,34308,67016,47044,21123,11134,5962,448,15,21,15,27,28,35,23,46,33,32,11,8,1,20,13,16,13,8,13,8,11,5,5,0,0,0,920781,916193,513451,557674,295,112
"G155","1930","Hawaii Territory","155",,"Hawaii Territory",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,222318,145455
"G160","1930","Idaho","160",,"Idaho",22921,24930,25120,22564,19070,15695,14849,30918,26259,17201,9916,3386,125,22089,24222,24014,21479,17848,14705,13674,26537,19437,12002,6148,2374,79,15,25,17,24,23,22,28,106,67,38,17,13,0,15,14,18,16,17,23,40,61,38,20,5,6,0,394,424,347,251,349,396,287,557,472,274,155,84,8,380,455,324,231,151,187,181,345,200,142,118,88,2,232954,204608,395,273,3998,2804
"G170","1930","Illinois","170",,"Illinois",297992,331851,333053,324245,312249,300562,290537,584672,429620,272624,151677,52385,3817,287653,320421,326124,326621,324312,305168,290795,545286,385643,257525,149164,59519,2846,12611,12622,10665,10898,15108,19890,18562,32494,19838,7676,2741,1032,288,12767,13138,11446,12465,18156,21389,17969,29273,16604,6786,2979,1322,253,2424,1941,951,1023,4020,4699,2963,3731,1267,401,131,26,171,2379,1809,950,801,1227,1442,972,1175,503,210,70,27,8,3685284,3581077,164425,164547,23748,11573
"G180","1930","Indiana","180",,"Indiana",139608,154166,145724,138459,126420,115180,110061,216884,179649,133045,82068,33377,1088,135010,149896,142376,137097,127824,116891,110708,210481,171544,124614,78493,34645,828,4578,4971,4150,4208,4862,5649,5580,10174,7086,3464,1543,616,187,4564,4996,4327,4538,5322,5934,5222,9060,6037,2813,1351,628,122,642,458,230,219,1316,1712,996,1149,355,106,32,7,42,628,430,251,193,357,406,283,334,146,64,21,6,2,1575729,1540407,57068,54914,7264,3121
"G190","1930","Iowa","190",,"Iowa",111218,122146,118659,112060,99070,88253,86375,168747,138392,103463,65864,28319,631,106773,118425,115233,109678,100327,90300,86796,163106,129931,94989,60637,28423,567,651,796,710,679,679,682,712,1453,1304,777,375,151,18,740,767,698,735,684,670,649,1390,1048,576,263,159,14,431,405,259,205,256,270,230,552,194,83,19,5,8,464,424,261,185,151,182,167,248,99,51,18,6,4,1243197,1205185,8987,8393,2917,2260
"G200","1930","Kansas","200",,"Kansas",82913,92206,88297,84524,76824,65569,62423,121702,100797,73012,45436,20570,353,79521,88742,85071,83052,77795,67209,62255,117475,92905,64469,39524,19912,291,2612,2963,2756,2631,2714,2775,2886,5624,4453,2586,1282,665,33,2570,3056,2852,2803,2772,2779,2587,5107,3900,2112,1090,711,25,1696,1653,1081,816,1645,1427,1080,1975,904,264,98,36,10,1782,1723,977,747,689,754,622,1005,479,194,88,56,7,914626,878221,33980,32364,12685,9123
"G210","1930","Kentucky","210",,"Kentucky",139656,150011,132566,119933,99485,83284,76681,142868,115903,81919,47349,18937,573,134601,144379,127372,117451,102339,87519,77693,140146,109745,74237,43782,19378,557,9370,10936,10030,10201,9648,8789,8179,17037,14482,8182,4566,1946,135,9217,10888,10260,10561,10168,9413,8613,16803,13225,7107,3939,2222,123,12,6,8,6,12,25,20,18,11,6,3,0,0,10,11,2,4,9,10,2,5,4,1,0,0,0,1209165,1179199,113501,112539,127,58
"G220","1930","Louisiana","220",,"Louisianna",73552,78092,72087,67498,61303,53749,47821,84005,63328,38073,17965,6964,244,70989,76025,69949,68095,64959,55519,47761,80409,57652,35226,18360,8339,196,42202,46313,41980,38192,36546,31806,24535,48793,37616,19276,8043,3681,190,42784,46769,42820,43101,43004,37235,27653,51311,34067,15955,7814,4480,160,510,498,429,358,391,376,297,470,300,194,87,44,15,501,490,366,358,293,268,180,314,198,97,55,18,0,664681,653479,379173,397153,3969,3138
"G230","1930","Maine","230",,"Maine",38105,40362,37363,34452,29637,25871,25706,50839,45932,37438,23568,10478,312,36701,39125,36487,34048,30796,27091,26758,50053,44132,34859,22936,11857,277,63,46,46,42,32,37,34,99,87,52,34,24,1,44,43,54,32,24,44,36,68,73,43,28,9,1,59,73,54,59,46,39,49,75,69,55,29,18,0,65,78,57,50,40,28,30,58,53,31,19,10,0,400063,395120,597,499,625,519
"G240","1930","Maryland","240",,"Maryland",59581,67609,64276,61442,60031,53460,51191,96993,73928,51054,28595,10302,1231,57963,65428,62676,58895,58272,53137,51195,94858,74771,52103,30959,13011,1209,13484,14449,12622,12554,13841,13065,11218,20596,15147,7736,3736,1379,679,13522,15115,13005,12863,13570,12444,10608,19063,13399,6636,3403,1567,678,46,30,17,35,120,128,133,137,90,47,16,2,9,33,25,17,15,12,14,13,25,10,1,2,0,0,679693,674477,140506,135873,810,167
"G250","1930","Massachusetts","250",,"Massachusetts",174973,194904,192037,178817,161056,151101,151403,305920,240351,169509,89233,31332,1577,169632,190124,190066,183056,180384,168608,165224,315938,251703,183223,105618,45766,1371,2388,2620,2387,1949,1772,1913,2216,4385,3668,1802,706,245,46,2320,2681,2311,2069,2026,2122,2205,4400,3266,1675,773,374,46,182,164,113,187,261,327,379,670,603,358,93,19,6,145,164,89,71,74,64,72,132,71,41,24,12,2,2042213,2150713,26097,26268,3362,961
"G260","1930","Michigan","260",,"Michigan",227011,238224,223435,203121,201861,202412,194002,378210,258912,158068,92738,36491,1554,218224,231480,218931,201322,195855,185855,174048,318134,222175,144689,86150,36247,1022,7578,7325,5540,5143,8473,12414,11760,17903,8547,2804,900,383,166,7653,7407,5847,5745,9258,11891,9754,13252,5923,2237,960,472,118,1481,1295,890,877,2007,2576,1663,1968,851,413,205,103,5,1494,1239,826,678,748,816,627,926,488,273,164,78,10,2416039,2234132,88936,80517,14334,8367
"G270","1930","Minnesota","270",,"Minnesota",116029,129080,127468,119189,104464,93743,93974,189292,142213,99497,64009,23645,506,111996,124831,123909,118513,107945,97784,93957,173028,124536,84239,52608,22077,441,320,332,320,282,311,379,472,1039,877,434,170,61,8,295,343,292,332,339,353,411,886,646,327,140,73,3,1218,1083,926,908,794,702,527,964,596,395,203,137,4,1143,1082,873,722,579,508,364,705,446,293,205,152,6,1303109,1235864,5005,4440,8457,7078
"G280","1930","Mississippi","280",,"Mississippi",59270,61898,56993,53781,45897,36809,32064,58199,47275,29744,15816,6984,191,57159,59845,54193,53398,48746,38770,32431,56839,43156,25768,14376,7072,182,58663,63760,59296,55752,48136,38400,28764,53772,45033,28889,12319,5339,215,58772,63465,57543,59141,56225,44427,32735,60215,42669,20525,9796,5646,221,209,213,162,167,221,196,149,237,155,105,43,25,0,222,217,157,163,137,121,68,138,83,32,13,14,0,504921,491935,498338,511380,1882,1365
"G290","1930","Missouri","290",,"Missouri",146555,162579,156209,154469,141262,127826,120432,236330,195687,143236,85758,35182,1319,141544,157392,151803,153868,150995,135905,125414,236925,189330,133615,79219,35036,997,8494,9251,8084,8480,9302,10502,9983,20359,15257,7233,3220,1514,250,8336,9095,8434,9255,11363,12188,10576,19422,12677,5846,2932,1571,216,469,413,261,289,489,532,399,694,340,142,38,21,6,464,407,267,194,239,223,198,314,140,66,22,12,1,1706844,1692043,111929,111911,4093,2547
"G300","1930","Montana","300",,"Montana",23771,26262,27522,24617,22144,19183,18063,45170,37205,21828,12161,3676,191,22747,25178,26733,23750,19885,17436,16088,35194,24538,14173,7330,2383,99,38,28,43,32,42,51,48,137,134,96,46,14,1,28,34,47,26,36,49,49,101,100,48,17,10,1,1345,1251,1058,891,1025,921,720,1309,957,630,408,188,22,1334,1239,993,819,621,555,508,775,534,430,272,195,23,281793,235534,710,546,10725,8298
"G310","1930","Nebraska","310",,"Nebraska",65376,70578,68057,65873,59274,50915,48891,95375,72960,49777,32380,13528,415,62246,68193,66215,64357,59517,51140,48558,90289,65926,43954,27125,12473,310,531,546,484,455,503,692,661,1403,1097,428,168,81,14,515,555,446,507,619,712,653,1294,822,334,148,79,5,835,807,632,460,521,556,471,850,454,187,77,32,4,834,808,505,448,354,355,367,456,247,144,58,45,2,693399,660303,7063,6689,5886,4623
"G320","1930","Nevada","320",,"Nevada",3156,3532,3258,3254,3470,3754,3649,8337,7503,4583,2106,668,25,2940,3390,3127,2959,3003,2960,2837,5327,3950,2139,998,483,17,10,11,5,6,15,19,30,68,63,33,11,6,0,11,12,8,9,14,25,20,65,39,22,10,2,2,493,425,356,341,516,717,533,979,623,310,174,118,4,513,480,308,306,267,281,243,386,293,211,140,98,2,47295,34130,277,239,5589,3528
"G330","1930","New Hampshire","330",,"New Hampshire",19893,22003,21312,19270,16825,15334,15525,30648,27499,22625,14055,6010,128,19401,21476,20658,19475,17940,16164,16151,31316,27136,21933,14272,7188,113,20,23,24,35,61,40,62,114,98,28,14,4,1,28,22,24,28,25,19,9,46,37,15,8,3,2,4,9,6,11,14,5,8,18,15,13,3,2,0,4,10,4,3,2,0,4,11,4,2,0,1,0,231127,233223,524,266,108,45
"G340","1930","New Jersey","340",,"New Jersey",157423,183073,185845,173243,162853,153735,155271,305592,221534,134826,68128,22226,1245,152239,177795,181785,174230,165995,155219,155790,289926,207619,137123,75552,29896,1046,9904,9788,8143,7664,9817,11156,10014,17115,11540,5105,1837,633,213,9886,10036,8455,9131,11478,12268,9773,16759,10692,4518,1841,872,190,117,129,63,90,221,355,434,635,398,221,38,12,8,99,97,51,38,38,77,50,66,39,11,4,4,2,1924994,1904215,102929,105899,2721,576
