GISJOIN,YEAR,STATE,STATEA,COUNTY,COUNTYA,AREANAME,BV1001,BV1002,BV1003,BV1004,BV1005,BV1006,BV1007,BV1008,BV1009,BV1010,BV1011,BV1012,BV1013,BV1014,BV1015,BV1016,BV1017,BV1018,BV1019,BV1020,BV1021,BV1022,BV1023,BV1024,BV1025,BV1026,BV1027,BV1028,BV1029,BV1030,BV1031,BV1032,BV1033,BV1034,BV1035,BV1036,BV1037,BV1038,BV1039,BV1040,BV1041,BV1042,BV1043,BV1044,BV1045,BV1046,BV1047,BV1048,BV1049,BV1050,BV1051,BV1052,BV1053,BV1054,BV1055,BV1056,BV1057,BV1058,BV1059,BV1060,BV1061,BV1062,BV1063,BV1064,BV1065,BV1066,BV1067,BV1068,BV1069,BV1070,BV1071,BV1072,BV1073,BV1074,BV1075,BV1076,BV1077,BV1078,BV1079,BV1080,BV1081,BV1082,BV1083,BV1084,BV1085,BV1086,BV1087,BV1088,BV1089,BV1090,BV1091,BV1092,BV1093,BV1094,BV1095,BV1096,BV2001,BV2002,BV2003,BV2004,BV2005,BV2006
"G0100010","1940","Alabama","010","Autauga","0010","Autauga",534,544,588,550,380,393,333,299,241,206,232,200,163,151,91,75,484,519,532,495,400,401,366,313,241,213,244,179,143,118,68,87,714,716,699,610,453,421,295,269,213,241,189,165,131,155,87,75,708,715,665,617,558,458,381,334,264,255,218,164,131,126,73,94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4980,4803,5433,5761,0,0
"G0100030","1940","Alabama","010","Baldwin","0030","Baldwin",1380,1257,1316,1318,1016,971,873,725,582,643,587,481,456,407,283,275,1185,1237,1266,1217,959,938,781,699,605,602,519,489,376,338,213,246,507,478,462,426,385,335,260,249,173,181,172,128,93,107,71,61,514,469,442,412,410,326,279,261,183,187,150,110,72,62,48,58,3,0,1,0,3,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,1,12570,11670,4088,3983,9,4
"G0100050","1940","Alabama","010","Barbour","0050","Barbour",721,742,788,782,638,599,525,502,378,360,318,297,179,197,104,96,768,729,770,806,710,585,537,453,405,367,281,289,213,179,111,134,1144,1103,1107,1048,799,665,471,455,334,351,276,222,177,180,108,103,1163,1226,1204,1149,985,781,570,579,421,374,318,224,177,167,114,164,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7226,7337,8543,9616,0,0
"G0100070","1940","Alabama","010","Bibb","0070","Bibb",785,757,855,732,573,492,473,423,344,309,279,254,239,165,97,106,780,783,754,743,556,488,444,429,326,286,265,244,205,158,87,88,420,426,439,369,243,240,232,209,145,126,132,102,88,89,71,50,403,409,377,357,286,290,229,207,129,122,121,93,61,66,46,53,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,1,0,0,0,1,0,0,0,0,0,0,6883,6636,3381,3249,1,5
"G0100090","1940","Alabama","010","Blount","0090","Blount",1760,1716,1754,1630,1315,1159,972,821,637,645,552,500,383,320,203,143,1552,1567,1592,1617,1300,1095,1001,769,674,653,549,460,322,279,129,158,86,55,74,60,65,71,59,50,30,29,28,31,18,13,11,9,64,53,76,65,75,33,36,37,24,24,26,14,14,15,7,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14510,13717,689,574,0,0
"G0100110","1940","Alabama","010","Bullock","0110","Bullock",188,195,211,224,198,194,148,112,125,127,130,104,84,61,37,40,171,205,193,218,204,168,133,117,127,142,120,98,93,69,48,67,1012,1004,908,845,651,558,384,318,260,266,282,193,172,199,114,134,1096,1096,889,850,797,624,436,424,407,354,292,218,207,189,123,157,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2178,2173,7300,8159,0,0
"G0100130","1940","Alabama","010","Butler","0130","Butler",870,893,967,898,789,674,598,507,425,390,399,297,274,201,134,112,827,859,896,887,749,697,641,487,434,407,396,327,247,197,131,149,1018,1073,988,798,713,503,428,389,256,260,283,205,177,169,106,100,1074,1036,1053,919,835,646,465,474,329,325,262,210,163,173,111,147,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8428,8331,7466,8222,0,0
"G0100150","1940","Alabama","010","Calhoun","0150","Calhoun",2622,2704,2674,2633,2532,2269,2025,1623,1363,1213,1008,834,654,478,286,258,2589,2630,2729,2576,2400,2279,2064,1727,1355,1224,991,820,665,502,301,300,660,707,729,638,578,535,425,407,333,312,254,171,134,140,74,66,665,685,735,750,717,642,534,486,416,320,257,186,162,118,79,74,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25176,25152,6163,6826,2,0
"G0100170","1940","Alabama","010","Chambers","0170","Chambers",1047,1173,1272,1248,1171,1122,1049,815,674,568,519,440,360,274,163,152,1011,1115,1242,1278,1258,1180,1036,814,649,598,531,461,379,268,157,186,1169,1108,1080,951,789,685,559,416,355,363,359,225,199,152,106,108,1114,1156,1018,1070,998,793,618,527,456,416,347,207,190,147,85,128,5,5,2,1,1,2,2,1,1,0,1,1,0,0,0,0,3,4,3,2,2,2,1,1,0,2,0,0,0,0,0,0,12047,12163,8624,9270,22,20
"G0100190","1940","Alabama","010","Cherokee","0190","Cherokee",1098,1094,1052,1014,873,740,667,501,432,430,399,338,267,218,114,97,1002,1034,1047,954,824,720,641,511,431,412,342,328,235,167,102,119,114,119,108,93,89,61,64,41,20,39,28,26,15,16,8,12,117,130,128,99,94,60,55,31,34,31,38,15,14,11,6,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9334,8869,853,872,0,0
