GISJOIN,YEAR,STATE,STATEA,COUNTYA,AREANAME,BV1001,BV1002,BV1003,BV1004,BV1005,BV1006,BV1007,BV1008,BV1009,BV1010,BV1011,BV1012,BV1013,BV1014,BV1015,BV1016,BV1017,BV1018,BV1019,BV1020,BV1021,BV1022,BV1023,BV1024,BV1025,BV1026,BV1027,BV1028,BV1029,BV1030,BV1031,BV1032,BV1033,BV1034,BV1035,BV1036,BV1037,BV1038,BV1039,BV1040,BV1041,BV1042,BV1043,BV1044,BV1045,BV1046,BV1047,BV1048,BV1049,BV1050,BV1051,BV1052,BV1053,BV1054,BV1055,BV1056,BV1057,BV1058,BV1059,BV1060,BV1061,BV1062,BV1063,BV1064,BV1065,BV1066,BV1067,BV1068,BV1069,BV1070,BV1071,BV1072,BV1073,BV1074,BV1075,BV1076,BV1077,BV1078,BV1079,BV1080,BV1081,BV1082,BV1083,BV1084,BV1085,BV1086,BV1087,BV1088,BV1089,BV1090,BV1091,BV1092,BV1093,BV1094,BV1095,BV1096,BV2001,BV2002,BV2003,BV2004,BV2005,BV2006
"G010","1940","Alabama","010",,"Alabama",95270,96749,102307,98152,83451,77868,70599,60575,49923,46246,40905,33767,26856,20722,12299,11307,92391,93400,98662,97329,86740,80531,72088,61550,50500,46176,39351,32394,25816,20382,11907,12884,54285,56815,56528,50498,41117,38263,31588,29671,23277,22808,19118,13880,11231,10975,6575,5961,55282,57474,56782,54259,50418,46123,36579,35651,27723,23864,19228,13265,10880,9953,6118,7101,51,29,34,27,28,31,22,26,15,7,14,10,7,5,2,7,40,31,28,26,22,32,20,13,5,13,14,1,3,4,2,5,926996,922101,472590,510700,315,259
"G025","1940","Alaska Territory","025",,"Alaska Territory",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"G040","1940","Arizona","040",,"Arizona",21771,21019,21314,20471,18817,18783,17212,15571,13717,12721,11085,8995,6965,5240,3129,3148,21298,20541,20584,20544,18708,18043,16364,14840,12869,11359,9416,7578,5525,4108,2476,2581,590,584,571,619,887,916,828,741,639,682,415,332,245,188,102,84,558,592,571,566,644,694,627,624,444,392,287,189,125,138,58,61,4462,4005,3476,2949,2493,2254,1850,1751,1367,1247,992,743,723,561,453,463,4454,4170,3374,2921,2586,2071,1661,1519,1103,953,727,546,483,385,348,386,219958,206834,8423,6570,29789,27687
"G050","1940","Arkansas","050",,"Arkansas",74674,75688,78847,78341,63437,58856,53508,46742,40213,40050,35318,29794,24842,20048,12461,11419,72669,73589,76315,76965,64836,59011,54465,47751,39634,37566,31823,26955,21631,17304,10703,10629,24890,25427,25529,24022,20379,18765,16572,15869,13063,13582,11154,8878,6663,6355,3753,3335,25183,25469,25560,25512,23376,21364,18470,18029,14725,12615,9938,7326,5539,5221,2942,3073,42,50,48,42,31,38,37,38,33,26,21,10,10,8,4,4,44,50,41,31,14,23,18,28,9,12,7,3,2,1,0,0,744238,721846,238236,244342,442,283
"G060","1940","California","060",,"California",221052,209950,229661,259406,276481,294468,280634,271910,253787,239192,220489,181442,142959,106413,73401,73262,212399,203830,223395,254508,270359,288540,271364,256669,241252,226314,205325,171901,146968,118025,82324,89083,3881,3755,4022,4326,4913,6310,5898,5803,5446,4655,3875,2913,2138,1682,874,719,3822,3902,3977,4348,5313,6717,6423,6580,5314,4575,3701,2819,1959,1873,906,867,6357,6964,9190,11903,10158,12031,13065,12265,9342,6547,7215,5893,4601,2412,1069,1001,5983,6691,8470,10110,7706,4783,3365,4293,4483,3916,2556,1519,1094,671,304,361,3334507,3262256,61210,63096,120013,66305
"G080","1940","Colorado","080",,"Colorado",48507,46731,48489,50332,46312,44826,42085,37780,35530,35206,31841,27017,22111,17500,12841,13214,46940,45722,47708,50236,47571,45778,41306,37389,34435,33065,29150,24512,20726,16812,12245,12585,366,387,405,424,383,434,469,461,486,512,375,329,282,246,156,117,386,399,428,425,477,567,547,557,527,478,369,328,293,282,150,131,226,216,282,404,270,170,118,130,107,110,173,158,140,64,27,29,235,250,306,323,220,95,54,80,134,124,65,41,28,23,8,8,560322,546180,5832,6344,2624,1994
"G090","1940","Connecticut","090",,"Connecticut",54140,57491,68844,76085,77683,72114,63742,58999,58190,59691,53612,40990,33164,25512,17122,15931,51825,55322,66188,75721,79743,73498,66510,61587,60036,59055,50401,39082,34725,28197,19557,20650,1330,1475,1540,1444,1225,1352,1204,1437,1333,1082,829,593,453,365,164,178,1324,1436,1620,1574,1474,1507,1484,1567,1263,1042,808,595,469,430,201,194,17,30,31,30,22,43,55,81,84,65,49,31,30,21,9,11,25,31,38,26,15,14,14,14,19,10,12,4,0,5,1,6,833310,842097,16004,16988,609,234
"G100","1940","Delaware","100",,"Delaware",8538,8577,9115,10118,10579,9752,9261,8473,8085,7783,6833,5376,4495,3644,2510,2667,8071,8097,9082,9857,10606,9878,9097,8267,8008,7317,6573,5462,4745,3744,2750,3168,1450,1513,1611,1668,1531,1582,1509,1532,1443,1231,942,738,605,471,296,327,1412,1491,1538,1651,1547,1603,1438,1482,1277,1013,870,625,496,435,265,284,1,0,4,2,4,6,7,16,16,9,5,3,1,0,3,1,6,4,2,1,1,1,0,2,2,1,2,0,0,1,0,0,115806,114722,18449,17427,78,23
"G110","1940","District Of Columbia","110",,"District of Columbia",12869,11767,13542,16710,23663,25655,22184,19370,18747,16983,14036,10398,8471,6016,3900,3437,12668,11605,13456,17042,23792,26492,23619,20897,20809,18202,15241,12171,10508,8491,5771,5814,7126,6824,6963,6835,7542,10004,9471,8652,6967,5559,4168,2996,2265,1694,871,735,7067,6959,7050,8014,10393,12027,10293,9243,7202,5786,4399,3255,2470,2087,1103,1246,59,52,44,43,42,124,171,161,139,88,64,42,36,20,6,11,62,38,34,36,51,44,30,25,25,23,10,8,7,1,0,3,227748,246578,88672,98594,1102,397
"G120","1940","Florida","120",,"Florida",54669,54714,62224,60184,56819,57095,54135,50922,45762,42342,37741,30868,27334,23314,16190,15257,52590,52600,60262,60809,60225,59870,56723,52078,45784,41955,37095,31352,27936,23405,15107,14625,21624,22504,23960,22882,23990,25142,22608,22024,17333,14030,11120,7875,5416,6194,3453,2644,22459,23056,24535,25816,28531,28094,23901,23014,17060,13217,9664,6461,4618,5496,2921,2556,62,43,68,42,80,54,85,83,67,51,34,29,14,16,14,12,74,51,34,47,71,36,33,29,30,23,12,12,11,4,3,6,689570,692416,252799,261399,754,476
