GISJOIN,YEAR,STATE,STATEA,COUNTYA,AREANAME,B1R001,B1R002,B1R003,B1R004,B1R005,B1R006,B1R007,B1R008,B1R009,B1R010,B1R011,B1R012,B1R013,B1R014,B1R015,B1R016,B1R017,B1R018,B1R019,B1R020,B1R021,B1R022,B1R023,B1R024,B1R025,B1R026,B1R027,B1R028,B1R029,B1R030,B1R031,B1R032,B1R033,B1R034,B1T001,B1T002,B1U001,B1U002,B1W001,B1W002,B1W003,B1W004,B1W005,B1W006,B1W007,B1W008,B1W009,B1W010,B1W011,B1W012,B1W013,B1W014,B1W015,B1W016,B1W017,B1W018,B1W019,B1W020,B1W021,B1W022,B1W023,B1W024,B1W025,B1W026,B1W027,B1W028,B1W029,B1W030,B1W031,B1W032,B1W033,B1W034,B1W035,B1W036,B1W037,B1W038,B1W039,B1W040,B1W041,B1W042,B1W043,B1W044,B1W045,B1W046,B1W047,B1W048,B1W049,B1W050,B1W051,B1W052,B1W053,B1W054,B1W055,B1W056,B1W057,B1W058,B1W059,B1W060,B1W061,B1W062,B1W063,B1W064,B1W065,B1W066,B1W067,B1W068,B1Z001,B1Z002,B1Z003,B1Z004
"G010","1950","Alabama","010",,"Alabama",243623,211395,188416,172672,166925,167208,154941,151880,136193,112240,93248,80276,65798,57242,38529,34081,4924,136501,115408,105024,92568,76081,67034,58496,65780,55781,49416,42258,30498,23435,29735,16070,14624,3443,2079591,982152,1231514,516245,124283,107843,96084,85535,80151,81597,76211,74882,67896,55940,46000,39675,32438,27627,18662,15793,2097,119340,103552,92332,87137,86774,85611,78730,76998,68297,56300,47248,40601,33360,29615,19867,18288,2827,68276,57722,52607,44701,33856,30586,26197,29501,26238,23344,19773,15229,11649,13807,7822,7207,1411,68225,57686,52417,47867,42225,36448,32299,36279,29543,26072,22485,15269,11786,15928,8248,7417,2032,1032714,1046877,469926,512226
"G025","1950","Alaska Territory","025",,"Alaska Territory",9506,5790,3639,6715,13783,11292,10412,8531,6453,4923,3554,2724,2151,1538,889,0,0,6073,4854,4219,4100,3388,2715,2028,2034,1499,1247,932,755,584,588,399,0,0,92808,35835,,0,4883,2880,1919,5319,10973,6996,6605,5282,3944,3176,2393,1860,1552,1167,688,,,4623,2910,1720,1396,2810,4296,3807,3249,2509,1747,1161,864,599,371,201,,,3088,2507,2202,2162,1894,1479,1067,1095,877,711,532,410,331,328,200,,,2985,2347,2017,1938,1494,1236,961,939,622,536,400,345,253,260,199,,,60390,32418,19082,16753
"G040","1950","Arizona","040",,"Arizona",78053,66562,56613,48006,48752,52243,50613,50764,44945,37362,31902,27102,21978,17308,11163,9520,1625,14672,12395,10782,9241,8166,6830,5787,5642,4840,4224,3271,2620,1981,1855,1121,1282,367,654511,95076,395744,46145,39736,34018,29032,23775,24252,25318,24697,24989,22857,19206,16239,14161,11580,8877,5856,4847,776,38317,32544,27581,24231,24500,26925,25916,25775,22088,18156,15663,12941,10398,8431,5307,4673,849,7434,6128,5569,4536,3991,3460,2860,2822,2537,2337,1829,1565,1132,1080,649,711,203,7238,6267,5213,4705,4175,3370,2927,2820,2303,1887,1442,1055,849,775,472,571,164,330216,324295,48843,46233
"G050","1950","Arkansas","050",,"Arkansas",169553,153076,136011,121665,104940,105642,101046,102818,95997,83773,71201,65790,54314,47455,32729,31094,4403,58726,48987,43474,38100,29862,25440,23663,26254,24883,24242,20612,17354,13093,15260,8560,7862,1632,1481507,428004,880675,232191,86489,78203,69612,60613,50731,51424,49382,51146,48016,41746,35915,33461,28045,24038,16918,15825,2050,83064,74873,66399,61052,54209,54218,51664,51672,47981,42027,35286,32329,26269,23417,15811,15269,2353,29338,24462,21934,18575,13556,11477,10600,11756,11498,11551,10047,9009,6880,7743,4557,4235,702,29388,24525,21540,19525,16306,13963,13063,14498,13385,12691,10565,8345,6213,7517,4003,3627,930,743614,737893,207920,220084
"G060","1950","California","060",,"California",1020259,794812,610350,588132,713745,850163,821554,799998,712656,631674,572291,500075,433626,354360,242271,228095,41112,78853,52778,42521,41611,59425,74747,65631,62836,51317,42369,31171,21614,17010,14019,7775,5931,1442,9915174,671050,6766361,445464,520053,404231,310138,304993,361345,415583,407166,397134,357787,321657,286584,247365,213302,168225,110336,97903,15764,500206,390581,300212,283139,352400,434580,414388,402864,354869,310017,285707,252710,220324,186135,131935,130192,25348,39933,26449,21876,21167,29366,37748,33313,33721,30193,25383,18204,12000,9930,8052,4717,3334,677,38920,26329,20645,20444,30059,36999,32318,29115,21124,16986,12967,9614,7080,5967,3058,2597,765,4939566,4975607,356063,314987
"G080","1950","Colorado","080",,"Colorado",145209,114282,97522,94231,100053,106379,97374,92565,83838,72491,66293,60448,52534,43923,31555,32062,5894,3066,2160,1842,2089,2820,2975,2517,2098,1638,1547,1405,1129,992,913,627,503,115,1296653,28436,826007,18741,73777,58099,49983,47961,49678,52961,48376,45887,42208,36457,33311,30565,26513,21563,15341,14951,2625,71432,56183,47539,46270,50375,53418,48998,46678,41630,36034,32982,29883,26021,22360,16214,17111,3269,1591,1077,955,1149,1605,1604,1283,1048,850,771,686,567,555,504,344,257,47,1475,1083,887,940,1215,1371,1234,1050,788,776,719,562,437,409,283,246,68,650256,646397,14893,13543
"G090","1950","Connecticut","090",,"Connecticut",188291,156052,117377,117791,139392,161791,167707,156493,137382,120937,116304,108478,90115,70109,48226,47216,8668,6289,4628,4229,3867,4966,5834,4951,4519,3804,3308,2672,1869,1410,1133,756,605,111,1952329,54951,1347243,35130,96678,79835,60134,58880,67787,77807,81372,77076,67567,59538,56746,53715,44806,33448,22130,20363,3230,91613,76217,57243,58911,71605,83984,86335,79417,69815,61399,59558,54763,45309,36661,26096,26853,5438,3160,2394,2158,1968,2402,2921,2353,2150,1885,1712,1412,976,678,537,368,270,41,3129,2234,2071,1899,2564,2913,2598,2369,1919,1596,1260,893,732,596,388,335,70,961112,991217,27385,27566
"G100","1950","Delaware","100",,"Delaware",28313,22734,18385,17767,19779,22978,23237,21088,19035,16574,15488,13509,11356,9215,6576,6611,1233,4924,4111,3490,3110,3394,3846,3490,3649,3108,2810,2473,1793,1324,1189,725,638,133,273878,44207,183002,27916,14534,11597,9500,8790,9324,11015,11387,10433,9513,8223,7698,6748,5545,4250,2989,2990,494,13779,11137,8885,8977,10455,11963,11850,10655,9522,8351,7790,6761,5811,4965,3587,3621,739,2436,2062,1789,1537,1576,1876,1720,1836,1620,1450,1317,988,691,640,382,324,70,2488,2049,1701,1573,1818,1970,1770,1813,1488,1360,1156,805,633,549,343,314,63,135030,138848,22314,21893
"G110","1950","District Of Columbia","110",,"District of Columbia",41042,28115,21713,27529,46577,53096,45975,43383,40647,36813,35821,30117,23135,17577,12208,12117,2000,30311,21354,18326,17882,25144,31453,28402,28310,22613,17979,13857,9207,6690,5761,3543,2900,581,517865,284313,391096,192242,20852,14099,10840,13816,23389,25342,21677,19768,18367,17018,16240,13763,10389,7365,4927,4262,623,20190,14016,10873,13713,23188,27754,24298,23615,22280,19795,19581,16354,12746,10212,7281,7855,1377,15237,10489,9094,8373,11143,14350,13044,13291,11158,8919,6926,4519,3186,2488,1574,1192,198,15074,10865,9232,9509,14001,17103,15358,15019,11455,9060,6931,4688,3504,3273,1969,1708,383,242737,275128,135181,149132
"G120","1950","Florida","120",,"Florida",217305,180186,145857,136011,161356,174154,167990,166093,153408,135218,122758,107960,94215,82663,59217,53653,8007,73440,58043,50972,46325,51335,50752,47729,49555,43097,38267,27964,19549,14292,16827,8348,7198,1561,2166051,605254,1456716,366797,110898,91901,74458,68800,80830,84355,81442,79909,75046,67174,60273,52922,45439,39715,29199,26416,3718,106407,88285,71399,67211,80526,89799,86548,86184,78362,68044,62485,55038,48776,42948,30018,27237,4289,36639,28864,25206,22260,23766,23542,22163,23275,21143,19048,14251,10073,7269,8113,4322,3822,666,36801,29179,25766,24065,27569,27210,25566,26280,21954,19219,13713,9476,7023,8714,4026,3376,895,1072495,1093556,294422,310832
