GISJOIN,YEAR,STATE,STATEA,COUNTYA,AREANAME,B5N001,B5N002,B5N003,B5N004,B5N005,B5N006,B5N007,B5N008,B5N009,B5N010,B5N011,B5N012,B5N013,B5N014,B5N015,B5N016,B5N017,B5N018,B5N019,B5N020,B5N021,B5N022,B5N023,B5N024,B5N025,B5N026,B5N027,B5N028,B5N029,B5N030,B5N031,B5N032,B5N033,B5N034,B5N035,B5N036,B5N037,B5N038,B5N039,B5N040,B5N041,B5N042,B5N043,B5N044,B5N045,B5N046,B5N047,B5N048,B5N049,B5N050,B5N051,B5N052,B5N053,B5N054,B5N055,B5N056,B5N057,B5N058,B5N059,B5N060,B5N061,B5N062,B5N063,B5N064,B5N065,B5N066,B5N067,B5N068,B5N069,B5N070,B5N071,B5N072,B5N073,B5N074,B5N075,B5N076,B5N077,B5N078,B5N079,B5N080,B5N081,B5N082,B5N083,B5N084,B5N085,B5N086,B5N087,B5N088
"G010","1960","Alabama","010",,"Alabama",25369,25106,25052,25494,25325,25125,24131,24046,23478,22791,23479,23853,25546,25078,19569,20348,21051,20324,17150,15275,14859,651612,24109,24380,24116,24202,23656,24127,23407,23100,22572,21421,22741,22949,24598,24244,19019,19622,19849,20265,17712,16217,15796,701446,14770,14388,14079,14238,14110,13993,13378,13369,12749,13188,13108,12724,12345,11531,10215,10412,9981,9739,8380,7049,6485,217417,14953,14561,14189,14327,13979,14135,13636,13469,12689,13054,12569,12498,12153,11571,10501,10241,9757,9876,8545,7688,7189,263903
"G020","1960","Alaska","020",,"Alaska",2570,2613,2534,2533,2386,2154,2110,1979,1790,1658,1575,1604,1511,1415,990,940,1013,1065,1936,3217,3243,60358,2513,2417,2421,2374,2241,2142,2100,1834,1640,1589,1563,1423,1373,1390,967,927,898,815,726,727,899,40373,1001,1026,990,933,911,920,832,778,704,682,718,662,552,538,447,530,507,476,514,626,529,12741,1017,1008,988,899,818,824,741,776,687,649,600,640,549,514,490,530,502,390,420,440,363,10159
"G040","1960","Arizona","040",,"Arizona",14769,14648,14795,14309,14326,14150,13776,13836,13092,12768,12594,12546,12867,12475,9733,9897,10016,9074,8032,7383,7463,335323,14310,14041,14217,13893,13574,13747,13418,13003,12814,12267,12063,12348,12266,11938,9516,9457,9673,9439,8520,7873,7609,335659,2761,2425,2310,2295,2147,2129,2018,2035,1786,1694,1784,1619,1587,1401,1320,1194,1169,1160,1104,955,932,31231,2759,2430,2308,2314,2335,2122,2018,2025,1754,1817,1664,1583,1500,1509,1248,1170,1134,1250,1126,1050,1003,29469
"G050","1960","Arkansas","050",,"Arkansas",13800,14004,13815,13870,13788,13777,13979,13846,13773,13009,13998,14478,15332,15720,12545,13036,13190,12794,10779,9139,8616,413474,13369,13355,13276,13425,13397,13689,13435,13103,12935,12709,13410,13955,14490,14840,12013,12332,12433,12411,10828,9452,8915,437169,6111,5780,5790,5701,5671,5778,5475,5428,5207,5224,5137,4903,4772,4420,4161,4068,3851,3727,3230,2593,2222,88976,6128,5869,5846,5801,5647,5671,5475,5458,5004,5138,5043,4905,4620,4285,4076,3979,3703,3640,3254,2716,2436,103650
"G060","1960","California","060",,"California",161859,159856,161111,158504,158412,154756,152207,149984,143084,138404,137871,136538,140690,139245,107532,106758,105799,112868,103690,97358,95034,4371534,154131,154948,155448,152989,150837,149306,147080,145090,138080,133181,133429,132104,135654,134864,104368,103800,103053,104040,91538,86079,85602,4566515,18688,18237,18197,17165,17012,16513,15800,14990,14153,13790,13545,13123,11954,10423,8799,8455,8074,8266,8301,7917,8440,371771,18311,18226,17788,17073,17007,16241,15195,15014,13817,13467,13609,13029,11983,10419,8565,8475,8231,7973,7775,7572,8233,350358
"G080","1960","Colorado","080",,"Colorado",20932,20618,20471,20175,20146,19882,19656,19259,18566,17820,17494,16991,17368,16981,13002,13302,13303,13061,13080,11980,10861,488627,19917,19715,19843,19783,19483,19277,18844,18742,17857,16821,17010,16867,16869,16882,12764,12751,12894,12653,12628,11449,11235,512841,863,845,799,803,776,766,677,642,599,562,539,507,478,410,333,376,335,382,394,406,425,14975,848,749,853,757,732,740,693,635,607,559,506,478,453,433,381,321,341,362,366,342,379,14820
"G090","1960","Connecticut","090",,"Connecticut",26238,27092,27112,26083,26088,25869,24708,24425,23584,21683,21647,22243,23195,23127,17845,17724,18614,18814,14613,12146,11793,735010,25324,25926,25998,25362,25525,24350,23731,23503,22175,20655,20865,21105,21922,22443,17030,17044,17820,18834,14561,12999,12768,794223,1949,1852,1822,1623,1665,1525,1359,1309,1220,1149,1155,1089,1028,896,752,716,747,695,642,623,620,30140,1878,1765,1745,1640,1601,1468,1382,1298,1219,1163,1125,1154,955,881,754,730,711,792,775,811,907,32088
"G100","1960","Delaware","100",,"Delaware",4747,4763,4831,4705,4562,4471,4305,4234,3925,3740,3615,3699,3688,3774,2761,2873,2734,2752,2155,2048,2184,113620,4599,4620,4586,4425,4321,4334,4041,3982,3755,3505,3403,3556,3646,3491,2754,2765,2726,2808,2588,2289,2317,119630,931,973,952,897,874,801,764,760,734,704,644,613,619,576,480,481,474,475,416,380,396,17006,969,918,953,890,891,849,758,781,710,730,627,670,655,536,471,467,453,463,450,402,379,16993
"G110","1960","District Of Columbia","110",,"District of Columbia",2693,2309,2140,1848,1761,1733,1633,1652,1522,1589,1529,1598,1684,1727,1382,1548,1568,1976,2755,2736,2845,117896,2683,2287,2036,1797,1834,1663,1616,1570,1540,1524,1571,1613,1686,1703,1540,1512,1645,1981,3494,3801,3382,144661,5880,5832,5714,5598,5479,5224,4940,4665,4309,4407,4050,3918,3795,3439,2641,2520,2496,2529,2437,2278,2349,115547,5779,5834,5660,5428,5503,5280,4989,4819,4391,4284,4177,4104,3905,3348,2817,2792,2716,2680,2875,3043,3216,131006
"G120","1960","Florida","120",,"Florida",41740,41247,41435,40834,40594,40457,39575,39186,37490,35746,35604,36683,37694,37490,29505,29538,29638,28295,25403,24015,24034,1264390,39899,39931,39378,39216,39178,38668,38033,37474,36282,34396,34254,34974,36473,36406,28641,28686,28889,28145,24986,23482,22849,1353048,14427,13975,13810,13440,12991,12269,11654,11297,10478,10366,9976,9205,8765,8135,7330,7017,6628,6685,6283,6072,6173,229214,14568,14225,13767,13425,13021,12580,12125,11289,10684,10481,10038,9358,9022,8234,7396,7260,6881,6798,6376,6410,6504,241047
