GISJOIN,YEAR,STATE,STATEA,COUNTYA,CTY_SUBA,PLACEA,TRACTA,ENUMDISTA,SCSAA,SMSAA,URB_AREAA,BLCK_GRPA,BLOCKA,ANXTERRA,URBRURALA,CDA,AREANAME,CBW001,CBW002,CBW003,CBW004,CBW005
"G010","1970","Alabama","01",,,,,,,,,,,,,,"Alabama",2528983,908247,2514,2807,1614
"G020","1970","Alaska","02",,,,,,,,,,,,,,"Alaska",236767,8911,16276,37020,1408
"G040","1970","Arizona","04",,,,,,,,,,,,,,"Arizona",1604948,53344,95812,8414,8382
"G050","1970","Arkansas","05",,,,,,,,,,,,,,"Arkansas",1561108,357225,2041,1840,1081
"G060","1970","California","06",,,,,,,,,,,,,,"California",17761032,1400143,91018,552364,148577
"G080","1970","Colorado","08",,,,,,,,,,,,,,"Colorado",2112352,66411,8836,11540,8120
"G090","1970","Connecticut","09",,,,,,,,,,,,,,"Connecticut",2835458,181177,2222,6810,6042
"G100","1970","Delaware","10",,,,,,,,,,,,,,"Delaware",466459,78276,656,1495,1218
"G110","1970","District Of Columbia","11",,,,,,,,,,,,,,"District Of Columbia",209272,537712,956,5372,3198
"G120","1970","Florida","12",,,,,,,,,,,,,,"Florida",5711411,1049578,6719,14042,7693
"G130","1970","Georgia","13",,,,,,,,,,,,,,"Georgia",3387516,1190779,2455,5931,2894
"G150","1970","Hawaii","15",,,,,,,,,,,,,,"Hawaii",298160,7573,1126,443292,18410
"G160","1970","Idaho","16",,,,,,,,,,,,,,"Idaho",698802,2130,6687,3212,1736
"G170","1970","Illinois","17",,,,,,,,,,,,,,"Illinois",9600381,1425674,11413,48808,27700
"G180","1970","Indiana","18",,,,,,,,,,,,,,"Indiana",4820324,357464,3887,6892,5102
"G190","1970","Iowa","19",,,,,,,,,,,,,,"Iowa",2782762,32596,2992,3420,2606
"G200","1970","Kansas","20",,,,,,,,,,,,,,"Kansas",2122068,106977,8672,4298,4563
"G210","1970","Kentucky","21",,,,,,,,,,,,,,"Kentucky",2971232,241292,1599,2800,1783
"G220","1970","Louisiana","22",,,,,,,,,,,,,,"Louisiana",2539547,1088734,5366,4278,3381
"G230","1970","Maine","23",,,,,,,,,,,,,,"Maine",985276,2800,2195,1202,575
"G240","1970","Maryland","24",,,,,,,,,,,,,,"Maryland",3193021,701341,4258,17932,5847
"G250","1970","Massachusetts","25",,,,,,,,,,,,,,"Massachusetts",5477624,175817,4475,22389,8865
"G260","1970","Michigan","26",,,,,,,,,,,,,,"Michigan",7833474,991066,16854,17844,15845
"G270","1970","Minnesota","27",,,,,,,,,,,,,,"Minnesota",3736038,34868,23128,7605,3332
"G280","1970","Mississippi","28",,,,,,,,,,,,,,"Mississippi",1393283,815770,4113,2671,1075
"G290","1970","Missouri","29",,,,,,,,,,,,,,"Missouri",4177495,480172,5405,8464,4965
"G300","1970","Montana","30",,,,,,,,,,,,,,"Montana",663043,1995,27130,1301,940
"G310","1970","Nebraska","31",,,,,,,,,,,,,,"Nebraska",1432867,39911,6624,2543,1548
"G320","1970","Nevada","32",,,,,,,,,,,,,,"Nevada",448177,27762,7933,3272,1594
"G330","1970","New Hampshire","33",,,,,,,,,,,,,,"New Hampshire",733106,2505,361,1134,575
"G340","1970","New Jersey","34",,,,,,,,,,,,,,"New Jersey",6349908,770292,4706,23333,19925
"G350","1970","New Mexico","35",,,,,,,,,,,,,,"New Mexico",915815,19555,72788,2214,5628
"G360","1970","New York","36",,,,,,,,,,,,,,"New York",15834090,2168949,28355,123809,81764
"G370","1970","North Carolina","37",,,,,,,,,,,,,,"North Carolina",3891510,1137664,43487,5609,3789
"G380","1970","North Dakota","38",,,,,,,,,,,,,,"North Dakota",599485,2494,14369,799,614
"G390","1970","Ohio","39",,,,,,,,,,,,,,"Ohio",9646997,970477,6654,16872,11017
"G400","1970","Oklahoma","40",,,,,,,,,,,,,,"Oklahoma",2275104,177907,97731,3707,4780
"G410","1970","Oregon","41",,,,,,,,,,,,,,"Oregon",2032079,26308,13510,15037,4451
"G420","1970","Pennsylvania","42",,,,,,,,,,,,,,"Pennsylvania",10737732,1016514,5533,20081,14049
"G440","1970","Rhode Island","44",,,,,,,,,,,,,,"Rhode Island",914757,25338,1390,3764,1476
"G450","1970","South Carolina","45",,,,,,,,,,,,,,"South Carolina",1794430,789041,2241,3103,1701
"G460","1970","South Dakota","46",,,,,,,,,,,,,,"South Dakota",630333,1627,32365,598,584
"G470","1970","Tennessee","47",,,,,,,,,,,,,,"Tennessee",3283432,631696,2376,4364,1819
"G480","1970","Texas","48",,,,,,,,,,,,,,"Texas",9696569,1419677,18132,20581,41771
"G490","1970","Utah","49",,,,,,,,,,,,,,"Utah",1031926,6617,11273,6881,2576
"G500","1970","Vermont","50",,,,,,,,,,,,,,"Vermont",442553,761,229,448,339
"G510","1970","Virginia","51",,,,,,,,,,,,,,"Virginia",3757478,865388,4904,16069,4655
"G530","1970","Washington","53",,,,,,,,,,,,,,"Washington",3251055,71308,33386,44060,9360
"G540","1970","West Virginia","54",,,,,,,,,,,,,,"West Virginia",1666870,73931,808,1736,892
"G550","1970","Wisconsin","55",,,,,,,,,,,,,,"Wisconsin",4258959,128224,18924,7665,3959
"G560","1970","Wyoming","56",,,,,,,,,,,,,,"Wyoming",323024,2568,4980,1091,753
