GISJOIN,YEAR,STATE,STATEA,COUNTYA,CTY_SUBA,PLACEA,TRACTA,SCSAA,SMSAA,URB_AREAA,BLOCKA,CDA,AREANAME,CEB001,CEB002,CEB003,CEB004,CEB005,CEB006,CEB007,CEB008,CEB009,CEB010,CEB011,CEB012,CEB013,CEB014,CEB015,CEB016,CEB017,CEB018,CE8001,CE8002,CE8003,CE8004,CE8005,CE8006,CE8007,CE8008,CE8009,CE8010,CE8011,CE8012,CE8013,CE8014,CE8015,CE8016,CE8017,CE8018,CE8019,CE8020,CE8021,CE8022,CE8023,CE8024,CE8025,CE8026,CE8027,CE8028,CE8029,CE8030,CE8031,CE8032,CE8033,CE8034,CE8035,CE8036,CE8037,CE8038,CE8039,CE8040,CE8041,CE8042,CE8043,CE8044,CE8045,CE8046,CE8047,CE8048,CE8049,CE8050,CE8051,CE8052,CE8053,CE8054,CE8055,CE8056,CE8057,CE8058,CE8059,CE8060,CE8061,CE8062,CE8063,CE8064,CE8065,CE8066,CE8067,CE8068,CE8069,CE8070,CE8071,CE8072,CE8073,CE8074,CE8075,CE8076,CE8077,CE8078,CE8079,CE8080,CE8081,CE8082,CE8083,CE8084,CE8085,CE8086,CE8087,CE8088,CE8089,CE8090,CE8091,CE8092,CE8093,CE8094,CE8095,CE8096,CE8097,CE8098,CE8099,CE8100,CE8101,CE8102,CE8103,CE8104,CE8105,CE8106,CE8107,CE8108,CE8109,CE8110,CE8111,CE8112,CE8113,CE8114,CE8115,CE8116,CE8117,CE8118,CE8119,CE8120,CE8121,CE8122,CE8123,CE8124,CE8125,CE8126,CE8127,CE8128,CE8129,CE8130,CE8131,CE8132,CE8133,CE8134,CE8135,CE8136,CE8137,CE8138,CE8139,CE8140,CE8141,CE8142,CE8143,CE8144,CE8145,CE8146,CE8147,CE8148,CE8149,CE8150,CE8151,CE8152,CE8153,CE8154,CE8155,CE8156,CE8157,CE8158,CE8159,CE8160,CE8161,CE8162,CE8163,CE8164,CE8165,CE8166,CE8167,CE8168,CE8169,CE8170,CE8171,CE8172,CE8173,CE8174,CE8175,CE8176,CE8177,CE8178,CE8179,CE8180,CE8181,CE8182,CE8183,CE8184,CE8185,CE8186,CE8187,CE8188,CE8189,CE8190,CE8191,CE8192,CE8193,CE8194,CE8195,CE8196,CE8197,CE8198,CE8199,CE8200,CE8201,CE8202
"G010","1970","Alabama","01",,,,,,,,,,"Alabama",1235489,423083,1168,389,347,334,91,130,910,1298342,480384,1275,690,279,206,89,270,689,9468,9000,9054,9576,10448,10757,11177,11320,10973,11354,12404,11497,12111,12064,12454,11937,11466,10958,9915,8360,7527,6453,5879,5162,4312,4253,4157,3922,3594,3417,3857,3306,3203,3303,3445,3351,3307,3487,3248,3351,3834,3245,3470,3433,3634,3712,3342,3852,3673,3636,4302,3450,3211,3309,3327,3720,3455,3629,3384,3995,3828,2964,3300,2907,3409,3423,2729,2859,2266,3187,2615,1655,1822,1691,1722,1568,1191,1245,1030,962,934,776,606,589,580,522,370,329,272,239,174,88,105,82,68,52,47,37,26,34,340,9496,9093,9180,9392,10033,10679,10865,11280,11062,11130,12289,11758,11837,12022,12259,12079,11492,11177,10622,9515,8932,7764,6684,5961,5178,4972,4802,4845,4491,4371,4851,4108,4214,4349,4475,4380,4455,4610,4373,4597,5180,4472,4894,4764,5052,4641,4431,4901,4515,4484,5373,4380,3967,4282,4055,4467,4185,4465,3973,4839,4546,3641,3901,3687,4209,4545,3614,3837,3099,4208,3441,2355,2295,2127,2212,2062,1633,1679,1430,1413,1389,1065,898,850,816,762,541,511,469,430,336,194,151,148,116,83,67,67,69,76,420
"G020","1970","Alaska","02",,,,,,,,,,"Alaska",129850,5308,8267,392,144,979,3431,14120,767,106917,3603,8009,524,84,519,3150,13677,641,110,116,96,84,114,110,94,99,115,102,94,88,81,83,62,49,43,60,91,123,343,478,253,201,124,118,101,100,103,101,97,82,89,82,89,84,99,83,72,60,58,50,38,41,36,30,43,35,30,36,34,28,23,16,21,26,14,23,14,14,22,12,15,10,8,6,2,5,3,6,3,2,0,2,1,0,1,0,0,0,3,1,0,0,0,1,0,0,0,0,17,1,0,0,0,0,0,0,0,0,4,116,98,102,89,98,114,110,112,101,101,106,103,79,76,68,58,40,53,44,70,79,75,83,82,79,76,77,66,66,74,68,54,73,63,62,55,50,62,36,35,52,26,29,34,23,28,24,35,29,23,25,16,16,16,18,14,13,8,10,15,14,6,13,1,11,8,2,5,4,5,3,3,1,0,2,0,2,1,1,1,0,0,4,1,0,1,1,0,0,0,1,0,1,0,0,0,0,0,0,0,4
"G040","1970","Arizona","04",,,,,,,,,,"Arizona",788763,26969,46910,972,2025,739,225,140,4263,816185,26375,48902,1422,1853,514,176,348,4119,631,563,542,625,613,685,735,737,717,754,805,737,731,662,645,659,621,597,574,611,676,573,496,448,353,302,329,295,267,263,272,249,264,303,306,296,317,270,270,299,269,225,227,217,224,227,220,246,219,187,250,203,203,209,163,205,179,190,170,213,203,162,189,134,161,165,160,145,121,164,118,88,72,88,82,72,77,53,57,40,43,46,27,36,18,22,19,11,13,2,8,8,5,2,4,1,2,1,0,3,9,591,632,562,540,678,648,694,722,717,724,773,701,703,704,696,600,571,515,497,560,435,437,343,377,322,305,301,347,323,295,325,293,303,292,312,270,274,307,253,271,332,235,247,248,241,233,233,265,239,239,271,219,211,186,194,193,198,206,185,222,192,163,166,142,152,146,142,143,97,147,129,105,91,71,87,69,60,61,53,49,40,37,27,29,18,28,23,13,16,11,10,14,3,5,2,2,6,2,3,0,11
"G050","1970","Arkansas","05",,,,,,,,,,"Arkansas",762982,167019,957,213,374,142,21,58,544,802933,185426,1057,374,369,147,43,103,533,3826,3670,3676,3755,4078,4368,4320,4524,4329,4595,4813,4652,4729,4740,4927,4914,4513,4344,3941,3165,2680,2326,2123,1869,1475,1488,1306,1395,1270,1243,1265,1036,1173,1026,1142,1155,1139,1120,997,1141,1210,1007,1253,1202,1274,1228,1173,1380,1148,1259,1580,1318,1248,1183,1335,1365,1362,1388,1385,1573,1503,1322,1507,1258,1461,1580,1337,1328,1153,1577,1350,891,1061,930,965,960,767,807,680,583,565,517,402,328,318,325,248,203,200,112,123,62,71,50,39,37,26,25,28,19,182,3795,3657,3738,3853,4021,4272,4379,4570,4376,4446,5042,4641,4644,4706,4693,4744,4468,4105,3968,3620,3247,2722,2332,1959,1744,1769,1608,1654,1497,1529,1611,1380,1469,1461,1454,1476,1410,1564,1400,1523,1701,1509,1597,1719,1671,1733,1606,1713,1596,1577,1941,1610,1610,1597,1509,1715,1572,1722,1637,1892,1790,1538,1770,1537,1751,1794,1653,1700,1460,1904,1559,1100,1175,1125,1016,1042,803,927,760,666,703,571,450,373,383,375,265,264,207,191,159,85,85,57,50,50,40,30,26,25,193
"G060","1970","California","06",,,,,,,,,,"California",8731367,683026,45528,99567,87835,77843,7514,6918,77087,9029665,717117,45490,113713,82296,61016,6824,8838,71490,15114,14296,14310,15029,16484,16856,17185,17530,17506,17524,18096,16542,16870,15932,15914,15079,14294,13731,13264,13705,13958,12412,11736,11137,9811,10101,10048,10206,9746,9426,9897,9097,9020,8844,9048,8830,8136,8308,7436,7689,8196,7021,7424,7177,7445,7572,6948,7299,6877,6766,7229,6006,5763,5334,5112,5269,4797,4862,4283,4549,4390,3574,3487,3141,3140,3093,2618,2614,1975,2539,2064,1592,1485,1371,1252,1192,897,941,702,699,728,557,382,337,302,288,256,211,147,126,133,61,59,46,38,25,28,27,18,22,393,15089,14111,14009,14966,16131,16656,17130,17243,17313,17322,18140,16780,16833,16095,15880,14837,13841,13484,12842,13098,13489,13114,12992,12507,10852,11176,11036,11257,10542,10190,10744,9479,9314,9057,9307,9294,8632,8820,7994,8162,8847,7620,7883,7743,8224,8132,7652,7904,7263,7133,7869,6575,6243,5880,5601,5786,5372,5402,4793,5222,4928,4110,4106,3747,3772,3706,3286,3252,2622,3304,2761,2119,2005,1757,1733,1596,1321,1355,1091,990,1004,834,631,560,587,493,422,354,292,272,212,116,109,88,56,64,52,36,31,25,416
"G080","1970","Colorado","08",,,,,,,,,,"Colorado",1041364,34047,4513,3462,807,592,220,248,4124,1070988,32364,4323,4369,682,476,172,512,3996,696,714,690,669,791,799,847,867,836,792,909,816,813,754,751,697,684,601,661,771,1045,1455,982,746,612,534,546,545,429,454,455,400,408,440,443,431,387,435,420,438,375,412,361,313,299,328,302,306,294,258,324,226,236,214,190,179,164,166,169,185,157,139,144,128,134,96,84,102,82,111,82,50,58,64,65,63,57,51,36,29,38,22,22,21,21,22,14,11,9,14,16,5,4,6,1,1,1,1,1,1,20,742,705,642,669,662,796,814,842,804,848,872,771,816,753,738,699,637,591,601,630,648,575,561,575,465,475,493,506,452,498,481,429,410,447,448,387,406,438,416,387,427,349,334,341,351,320,330,309,298,298,300,249,225,227,210,195,225,208,192,190,189,146,170,109,141,160,141,131,95,149,149,114,90,88,88,74,69,63,53,56,57,41,46,27,27,38,26,17,23,8,15,5,7,8,0,0,2,4,1,3,27
"G090","1970","Connecticut","09",,,,,,,,,,"Connecticut",1377199,85649,1057,666,1173,1358,75,285,3025,1458259,95528,1165,955,1036,819,72,371,3017,2192,2138,2147,2303,2468,2542,2579,2455,2418,2281,2429,2166,2222,1986,2080,1865,1690,1668,1571,1408,1441,1296,1358,1406,1438,1340,1406,1341,1321,1202,1280,1175,1158,983,1074,1042,901,1002,869,949,1045,949,907,807,905,916,812,809,775,808,807,695,600,536,492,526,480,496,489,459,427,326,345,291,337,301,273,271,182,273,233,160,158,169,134,94,80,93,86,61,81,71,41,37,29,30,24,16,10,11,10,13,6,8,7,8,2,0,3,0,45,2270,2277,2170,2379,2537,2542,2532,2436,2417,2302,2319,2171,2121,1994,2037,1858,1736,1627,1684,1721,1832,1909,1859,1822,1672,1747,1617,1723,1532,1511,1613,1367,1349,1199,1301,1230,1181,1148,1002,1102,1184,945,1051,970,1007,1006,896,931,921,854,866,806,668,628,645,670,554,569,498,541,485,452,388,422,435,386,386,374,273,358,295,222,219,186,200,142,129,136,126,90,118,114,69,73,66,62,33,34,27,30,26,16,8,15,5,11,6,1,2,0,52
"G100","1970","Delaware","10",,,,,,,,,,"Delaware",227978,37646,324,127,296,219,20,58,664,238481,40630,332,232,263,173,21,86,554,850,840,837,916,961,1009,1065,985,1047,999,1049,1028,981,1003,952,890,848,765,765,717,625,566,584,554,452,462,436,510,443,396,453,385,390,358,418,411,380,416,381,386,429,368,365,355,386,385,375,372,378,340,391,352,311,295,286,297,257,297,282,307,270,209,251,179,234,203,174,153,153,189,142,114,132,104,108,102,88,66,53,49,46,43,29,29,18,23,23,22,13,14,11,8,8,6,8,2,1,1,3,4,20,838,776,903,884,1035,1036,976,1102,1032,1015,1068,990,1022,946,941,872,816,825,832,767,757,745,723,652,558,576,533,546,488,485,491,491,467,422,450,515,425,430,408,462,445,445,437,407,419,418,420,423,384,427,429,355,330,296,302,320,290,291,300,315,296,233,262,216,224,231,180,214,171,232,168,137,127,149,134,110,77,101,85,72,66,58,55,48,38,22,26,26,13,20,17,7,9,6,6,6,1,2,8,2,22
"G110","1970","District Of Columbia","11",,,,,,,,,,"District Of Columbia",94088,252602,415,241,1405,789,42,183,1726,115184,285110,541,410,1177,873,44,208,1472,5379,4848,5001,5198,5615,5585,5862,5690,5684,5761,6228,5695,5771,5448,5536,5304,4961,4809,4577,4567,4430,4258,4722,4563,4151,4325,4084,4310,3771,3842,3888,3356,3095,2956,3189,3136,2906,3014,2595,3075,3237,2832,2906,2840,2922,2826,2801,3035,2727,2700,3029,2470,2309,2164,2131,2371,2087,2066,1968,2046,1883,1580,1617,1325,1424,1256,1074,1042,847,1062,922,669,641,582,510,468,423,387,300,278,289,195,175,124,114,141,75,86,48,51,41,35,31,16,20,12,12,10,9,7,169,5246,4855,5011,5143,5567,5706,5775,5753,5552,5752,5898,5647,5709,5553,5652,5469,5339,4977,5223,5825,6307,6287,6424,5951,4982,5100,4898,4807,4420,4176,4209,3674,3464,3319,3381,3530,3405,3520,3194,3351,3634,3289,3223,3291,3406,3495,3289,3479,3156,3152,3538,2784,2888,2572,2719,2659,2424,2498,2212,2381,2123,1845,1898,1688,1779,1566,1428,1448,1191,1450,1223,1033,846,753,827,748,549,542,455,502,455,379,291,258,239,233,192,159,137,123,114,63,66,39,35,32,28,22,12,17,182
"G120","1970","Florida","12",,,,,,,,,,"Florida",2762779,498695,3221,1317,1660,3139,288,418,4054,2956564,542956,3456,2773,1473,1953,317,729,3651,11665,10975,11125,11980,12555,12967,13114,13411,13099,13696,14738,13822,13609,13329,13148,12560,11746,10950,10411,9328,8665,7373,7150,6823,6099,6036,5615,5866,5335,5550,6025,5290,5475,5080,5518,5284,5160,5419,4685,4848,5536,4744,4807,4746,4937,4774,4456,4688,4302,4187,5115,4364,4148,3891,3767,3866,3768,3813,3548,4060,3758,3047,3266,2843,3172,2978,2481,2663,2192,2914,2331,1441,1423,1345,1249,1103,900,892,658,616,636,540,379,361,390,321,273,216,168,159,147,63,70,56,47,50,34,28,21,29,394,11416,11068,11145,11825,12464,12954,13258,13281,13226,13584,14741,13754,13680,13411,13566,12458,11852,11186,10609,10085,9896,8938,8328,7875,7034,7241,6747,6822,6406,6434,7065,6263,6234,6097,6359,6225,5967,6166,5581,5738,6461,5692,5743,5520,5836,5325,5069,5390,4921,4927,6036,4691,4508,4414,4200,4406,4092,4566,3878,4624,4235,3468,3578,3274,3648,3586,3096,3199,2624,3369,2623,1865,1774,1688,1612,1531,1137,1182,964,906,900,773,611,563,534,460,367,351,265,241,220,101,100,80,84,65,48,51,40,24,441
