GISJOIN,YEAR,STATE,STATEA,COUNTY,COUNTYA,AREANAME,NativeWhiteMale,NativeWhiteFemale,FWhiteMale,FWhiteMale,NegroMale,NegroFemale
"G0100010","1930","Alabama","010","Autauga","0010","Autauga",4480,4285,12,10,5320,5587
"G0100030","1930","Alabama","010","Baldwin","0030","Baldwin",10202,9628,939,715,3439,3359
"G0100050","1930","Alabama","010","Barbour","0050","Barbour",6859,6885,13,9,8914,9745
"G0100070","1930","Alabama","010","Bibb","0070","Bibb",7126,6649,85,44,3603,3273
"G0100090","1930","Alabama","010","Blount","0090","Blount",13798,13135,12,6,566,503
"G0100110","1930","Alabama","010","Bullock","0110","Bullock",2116,2130,14,2,7458,8296
"G0100130","1930","Alabama","010","Butler","0130","Butler",7766,7728,15,4,6833,7849
"G0100150","1930","Alabama","010","Calhoun","0150","Calhoun",21501,21392,100,78,5993,6543
"G0100170","1930","Alabama","010","Chambers","0170","Chambers",10623,10743,10,9,8562,9366
"G0100190","1930","Alabama","010","Cherokee","0190","Cherokee",9335,9050,2,1,920,911
"G0100210","1930","Alabama","010","Chilton","0210","Chilton",10482,10057,43,29,1932,2036
"G0100230","1930","Alabama","010","Choctaw","0230","Choctaw",4825,4441,6,4,5660,5576
"G0100250","1930","Alabama","010","Clarke","0250","Clarke",6365,6013,11,1,6787,6838
"G0100270","1930","Alabama","010","Clay","0270","Clay",7571,7462,4,4,1388,1339
"G0100290","1930","Alabama","010","Cleburne","0290","Cleburne",6131,5957,11,10,410,356
"G0100310","1930","Alabama","010","Coffee","0310","Coffee",12951,12704,3,4,3447,3447
"G0100330","1930","Alabama","010","Colbert","0330","Colbert",10670,10609,66,32,4074,4408
"G0100350","1930","Alabama","010","Conecuh","0350","Conecuh",7273,7045,16,0,5399,5696
"G0100370","1930","Alabama","010","Coosa","0370","Coosa",4000,3817,1,2,2353,2287
"G0100390","1930","Alabama","010","Covington","0390","Covington",17152,17099,15,12,3469,3609
"G0100410","1930","Alabama","010","Crenshaw","0410","Crenshaw",8245,8109,0,1,3531,3770
"G0100430","1930","Alabama","010","Cullman","0430","Cullman",20399,19858,216,137,229,212
"G0100450","1930","Alabama","010","Dale","0450","Dale",8881,8874,6,4,2637,2773
"G0100470","1930","Alabama","010","Dallas","0470","Dallas",6837,7225,114,51,19133,21734
"G0100490","1930","Alabama","010","DeKalb","0490","Dekalb",19706,19526,11,10,422,429
"G0100510","1930","Alabama","010","Elmore","0510","Elmore",10481,9600,11,5,7085,7097
"G0100530","1930","Alabama","010","Escambia","0530","Escambia",9875,9123,39,19,4325,4233
"G0100550","1930","Alabama","010","Etowah","0550","Etowah",26800,26403,163,88,5002,4942
"G0100570","1930","Alabama","010","Fayette","0570","Fayette",7920,7879,7,7,1311,1319
"G0100590","1930","Alabama","010","Franklin","0590","Franklin",12212,11719,16,6,677,742
"G0100610","1930","Alabama","010","Geneva","0610","Geneva",13179,13021,4,2,1867,2031
"G0100630","1930","Alabama","010","Greene","0630","Greene",1761,1707,11,3,7957,8306
"G0100650","1930","Alabama","010","Hale","0650","Hale",3452,3380,15,6,9442,9970
"G0100670","1930","Alabama","010","Henry","0670","Henry",5986,6042,3,0,5279,5510
"G0100690","1930","Alabama","010","Houston","0690","Houston",16215,16111,51,29,6554,6975
"G0100710","1930","Alabama","010","Jackson","0710","Jackson",17437,16742,8,5,1355,1333
"G0100730","1930","Alabama","010","Jefferson","0730","Jefferson",127664,128376,4177,3258,80705,87252
"G0100750","1930","Alabama","010","Lamar","0750","Lamar",7714,7432,2,2,1443,1408
"G0100770","1930","Alabama","010","Lauderdale","0770","Lauderdale",16434,16788,77,49,3688,4094
"G0100790","1930","Alabama","010","Lawrence","0790","Lawrence",10168,9716,4,1,3457,3596
"G0100810","1930","Alabama","010","Lee","0810","Lee",8570,8807,42,15,8839,9790
"G0100830","1930","Alabama","010","Limestone","0830","Limestone",13446,13134,41,21,4927,5060
"G0100850","1930","Alabama","010","Lowndes","0850","Lowndes",1628,1604,12,2,9463,10169
"G0100870","1930","Alabama","010","Macon","0870","Macon",2459,2310,8,6,11111,11209
"G0100890","1930","Alabama","010","Madison","0890","Madison",22501,22727,67,55,9456,9816
"G0100910","1930","Alabama","010","Marengo","0910","Marengo",5163,4863,32,18,12679,13670
"G0100930","1930","Alabama","010","Marion","0930","Marion",12727,12371,5,3,463,398
"G0100950","1930","Alabama","010","Marshall","0950","Marshall",19384,19124,8,5,665,607
"G0100970","1930","Alabama","010","Mobile","0970","Mobile",36273,37104,1678,901,19659,22596
"G0100990","1930","Alabama","010","Monroe","0990","Monroe",7210,7021,14,5,7910,7872
"G0101010","1930","Alabama","010","Montgomery","1010","Montgomery",22891,22939,401,291,24230,27914
"G0101030","1930","Alabama","010","Morgan","1030","Morgan",18938,18748,114,65,4070,4241
"G0101050","1930","Alabama","010","Perry","1050","Perry",3573,3634,13,9,9266,9890
"G0101070","1930","Alabama","010","Pickens","1070","Pickens",6623,6338,8,1,5775,6157
"G0101090","1930","Alabama","010","Pike","1090","Pike",8842,8821,23,15,6991,7548
"G0101110","1930","Alabama","010","Randolph","1110","Randolph",10512,10457,7,1,2897,2987
"G0101130","1930","Alabama","010","Russell","1130","Russell",3920,3860,18,17,9209,10353
"G0101150","1930","Alabama","010","St Clair","1150","St Clair",10042,9556,48,32,2448,2384
"G0101170","1930","Alabama","010","Shelby","1170","Shelby",10537,10005,48,13,3635,3338
"G0101190","1930","Alabama","010","Sumter","1190","Sumter",2825,2834,19,4,10173,11074
"G0101210","1930","Alabama","010","Talladega","1210","Talladega",13954,14057,46,30,8345,8807
"G0101230","1930","Alabama","010","Tallapoosa","1230","Tallapoosa",10727,10663,13,12,4781,4992
"G0101250","1930","Alabama","010","Tuscaloosa","1250","Tuscaloosa",21269,21091,126,99,10525,11041
"G0101270","1930","Alabama","010","Walker","1270","Walker",26072,25328,160,72,4050,3763
"G0101290","1930","Alabama","010","Washington","1290","Washington",5002,4485,42,23,3537,3276
"G0101310","1930","Alabama","010","Wilcox","1310","Wilcox",2796,2749,9,7,9368,9951
"G0101330","1930","Alabama","010","Winston","1330","Winston",7720,7779,11,3,46,37
"G0250015","1930","Alaska Territory","025","First Judicicial Dist","0015","First Judicicial Dist",5070,3645,3172,990,,
"G0250035","1930","Alaska Territory","025","Fourth Judicicial Dist","0035","Fourth Judicicial Dist",2265,960,1937,326,,
"G0250075","1930","Alaska Territory","025","Second Judicicial Dist","0075","Second Judicicial Dist",548,278,522,79,,
"G0250115","1930","Alaska Territory","025","Third Judicicial Dist","0115","Third Judicicial Dist",3632,2062,2758,396,,
"G0400010","1930","Arizona","040","Apache","0010","Apache",2015,1695,53,23,189,149
"G0400030","1930","Arizona","040","Cochise","0030","Cochise",12589,10899,1450,919,1493,417
"G0400050","1930","Arizona","040","Coconino","0050","Coconino",3331,2846,304,169,55,60
"G0400070","1930","Arizona","040","Gila","0070","Gila",8863,7602,975,586,79,82
"G0400090","1930","Arizona","040","Graham","0090","Graham",3899,3577,81,56,30,23
"G0400110","1930","Arizona","040","Greenlee","0110","Greenlee",2435,2084,300,223,22,6
"G0400130","1930","Arizona","040","Maricopa","0130","Maricopa",53751,49744,2744,2045,2526,2353
"G0400150","1930","Arizona","040","Mohave","0150","Mohave",2210,1599,213,75,0,0
"G0400170","1930","Arizona","040","Navajo","0170","Navajo",4160,3709,149,118,48,50
"G0400190","1930","Arizona","040","Pima","0190","Pima",15809,14870,1148,899,653,598
"G0400210","1930","Arizona","040","Pinal","0210","Pinal",5390,4177,380,217,170,64
"G0400230","1930","Arizona","040","Santa Cruz","0230","Santa Cruz",1908,1482,248,195,568,150
"G0400250","1930","Arizona","040","Yavapai","0250","Yavapai",9756,7662,1077,552,92,89
"G0400270","1930","Arizona","040","Yuma","0270","Yuma",6029,4696,270,122,427,356
"G0500010","1930","Arkansas","050","Arkansas","0010","Arkansas",8985,8190,119,87,2459,2457
"G0500030","1930","Arkansas","050","Ashley","0030","Ashley",6836,6402,19,8,6043,5815
"G0500050","1930","Arkansas","050","Baxter","0050","Baxter",4857,4583,47,31,0,1
"G0500070","1930","Arkansas","050","Benton","0070","Benton",17472,17274,154,105,42,46
"G0500090","1930","Arkansas","050","Boone","0090","Boone",7556,7316,33,27,0,0
"G0500110","1930","Arkansas","050","Bradley","0110","Bradley",5980,5738,13,9,2797,2955
"G0500130","1930","Arkansas","050","Calhoun","0130","Calhoun",3488,3269,2,0,1449,1544
"G0500150","1930","Arkansas","050","Carroll","0150","Carroll",7968,7754,45,26,14,11
"G0500170","1930","Arkansas","050","Chicot","0170","Chicot",4327,3936,134,78,7050,7093
