GISJOIN,YEAR,STATE,STATEA,COUNTY,COUNTYA,CTY_SUBA,PLACEA,TRACTA,SCSAA,SMSAA,URB_AREAA,BLOCKA,CDA,AREANAME,NegroPersons
"G0100010","1970","Alabama","01","Autauga","001",,,,,,,,,"Autauga",6911
"G0100030","1970","Alabama","01","Baldwin","003",,,,,"5160",,,,"Baldwin",10566
"G0100050","1970","Alabama","01","Barbour","005",,,,,,,,,"Barbour",10389
"G0100070","1970","Alabama","01","Bibb","007",,,,,,,,,"Bibb",3850
"G0100090","1970","Alabama","01","Blount","009",,,,,,,,,"Blount",587
"G0100110","1970","Alabama","01","Bullock","011",,,,,,,,,"Bullock",7965
"G0100130","1970","Alabama","01","Butler","013",,,,,,,,,"Butler",8820
"G0100150","1970","Alabama","01","Calhoun","015",,,,,,,,,"Calhoun",17572
"G0100170","1970","Alabama","01","Chambers","017",,,,,,,,,"Chambers",12641
"G0100190","1970","Alabama","01","Cherokee","019",,,,,,,,,"Cherokee",1393
"G0100210","1970","Alabama","01","Chilton","021",,,,,,,,,"Chilton",3410
"G0100230","1970","Alabama","01","Choctaw","023",,,,,,,,,"Choctaw",7309
"G0100250","1970","Alabama","01","Clarke","025",,,,,,,,,"Clarke",11701
"G0100270","1970","Alabama","01","Clay","027",,,,,,,,,"Clay",2041
"G0100290","1970","Alabama","01","Cleburne","029",,,,,,,,,"Cleburne",629
"G0100310","1970","Alabama","01","Coffee","031",,,,,,,,,"Coffee",5965
"G0100330","1970","Alabama","01","Colbert","033",,,,,,,,,"Colbert",8480
"G0100350","1970","Alabama","01","Conecuh","035",,,,,,,,,"Conecuh",6986
"G0100370","1970","Alabama","01","Coosa","037",,,,,,,,,"Coosa",3736
"G0100390","1970","Alabama","01","Covington","039",,,,,,,,,"Covington",4994
"G0100410","1970","Alabama","01","Crenshaw","041",,,,,,,,,"Crenshaw",3779
"G0100430","1970","Alabama","01","Cullman","043",,,,,,,,,"Cullman",521
"G0100450","1970","Alabama","01","Dale","045",,,,,,,,,"Dale",6448
"G0100470","1970","Alabama","01","Dallas","047",,,,,,,,,"Dallas",28892
"G0100490","1970","Alabama","01","DeKalb","049",,,,,"5160",,,,"De Kalb",852
"G0100510","1970","Alabama","01","Elmore","051",,,,,"5240",,,,"Elmore",9454
"G0100530","1970","Alabama","01","Escambia","053",,,,,"5240",,,,"Escambia",10601
"G0100550","1970","Alabama","01","Etowah","055",,,,,"2880",,,,"Etowah",13079
"G0100570","1970","Alabama","01","Fayette","057",,,,,,,,,"Fayette",2254
"G0100590","1970","Alabama","01","Franklin","059",,,,,,,,,"Franklin",1203
"G0100610","1970","Alabama","01","Geneva","061",,,,,,,,,"Geneva",2866
"G0100630","1970","Alabama","01","Greene","063",,,,,,,,,"Greene",8027
"G0100650","1970","Alabama","01","Hale","065",,,,,,,,,"Hale",10542
"G0100670","1970","Alabama","01","Henry","067",,,,,,,,,"Henry",5341
