id,state,county,areaname,1900,1910,1920,1930,1940,1950,1960,1970
,Alaska Territory,Northern District,Northern District,60,0,1703,1590,0,5772,fill
16079,Idaho,Shoshone,Shoshone,18,27,12,2,7,2,0
40135,Oklahoma,Sequoyah,Sequoyah,3178,2766,1596,1555,985,841,824
16073,Idaho,Owyhee,Owyhee,3,0,4,0,4,0,112
16071,Idaho,Oneida,Oneida,2,4,0,0,0,0,0
16077,Idaho,Power,Power,fill,13,4,2,3,1,0
16075,Idaho,Payette,Payette,fill,3,1,1,5,14,3
4027,Arizona,Yuma,Yuma,fill,382,783,872,913,1711,1967
4025,Arizona,Yavapai,Yavapai,fill,282,181,150,157,137,129
4023,Arizona,Santa Cruz,Santa Cruz,fill,3269,718,215,164,105,174
4021,Arizona,Pinal,Pinal,fill,97,234,511,2508,3681,2980
19159,Iowa,Ringgold,Ringgold,1,0,0,0,2,0,11
39109,Ohio,Miami,Miami,1109,1115,1281,1148,1123,1386,1667
19155,Iowa,Pottawattamie,Pottawattamie,353,612,684,545,638,593,592
39105,Ohio,Meigs,Meigs,690,631,596,507,415,337,221
19157,Iowa,Poweshiek,Poweshiek,55,52,26,26,34,26,99
39107,Ohio,Mercer,Mercer,115,75,55,27,20,7,0
19151,Iowa,Pocahontas,Pocahontas,3,2,0,0,52,1,0
39101,Ohio,Marion,Marion,232,270,435,397,685,1493,1763
19153,Iowa,Polk,Polk,3591,5837,5713,6637,8323,10535,11791
39103,Ohio,Medina,Medina,114,184,254,243,486,612,705
53003,Washington,Asotin,Asotin,1,6,0,1,1,18,0
22009,Louisiana,Avoyelles,Avoyelles,12039,10353,9915,10556,9907,10448,10383
22001,Louisiana,Acadia,Acadia,6546,7526,8103,8319,8994,9817,10361
22003,Louisiana,Allen,Allen,fill,6352,4103,4421,4373,4751,4969
22005,Louisiana,Ascension,Ascension,11255,9490,7077,7948,7916,8906,9957
40025,Oklahoma,Cimarron,Cimarron,2,2,0,0,0,1,0
22007,Louisiana,Assumption,Assumption,10105,7487,6319,7530,7226,7417,7336
30113,Montana,Yellowstone National Park,Yellowstone National Park,fill,fill,0,0,0,0,0
46137,South Dakota,Ziebach,Ziebach,fill,20,0,0,1,0,4
46135,South Dakota,Yankton,Yankton,61,144,78,62,45,69,97
46133,South Dakota,Washington,Washington,0,1,0,0,fill,fill,fill
46131,South Dakota,Washabaugh,Washabaugh,0,6,0,0,2,2,0
27173,Minnesota,Yellow Medicine,Yellow Medicine,1,0,1,0,3,2,0
27171,Minnesota,Wright,Wright,18,3,2,0,4,8,40
51600,Virginia,Fairfax City,Fairfax City,fill,fill,fill,fill,fill,fill,385
21101,Kentucky,Henderson,Henderson,6818,5693,4398,4189,3539,3392,3064
21103,Kentucky,Henry,Henry,1792,1488,1181,1019,869,863,756
21105,Kentucky,Hickman,Hickman,1766,1248,1048,1015,936,813,773
21107,Kentucky,Hopkins,Hopkins,6573,6037,5281,4398,3682,3381,2913
21109,Kentucky,Jackson,Jackson,22,4,18,21,3,0,0
32013,Nevada,Humboldt,Humboldt,36,34,36,42,62,82,39
32011,Nevada,Eureka,Eureka,1,0,0,0,10,3,0
51840,Virginia,Winchester City,Winchester City,1038,934,1043,1068,1152,1183,1308
32017,Nevada,Lincoln,Lincoln,7,1,3,1,9,1,5
32015,Nevada,Lander,Lander,7,10,10,6,13,1,4
47081,Tennessee,Hickman,Hickman,2430,1928,1116,987,804,634,597
32019,Nevada,Lyon,Lyon,4,12,7,5,8,5,0
26157,Michigan,Tuscola,Tuscola,21,1,44,64,140,333,336
42055,Pennsylvania,Franklin,Franklin,1716,1457,1306,1524,1344,1716,1751
26155,Michigan,Shiawassee,Shiawassee,39,14,7,5,25,39,19
42057,Pennsylvania,Fulton,Fulton,94,86,101,96,78,84,61
12019,Florida,Clay,Clay,2453,2072,1767,1735,2094,2652,2907
42051,Pennsylvania,Fayette,Fayette,5852,6280,10586,10043,9122,8055,6707
26151,Michigan,Sanilac,Sanilac,8,6,8,8,7,4,37
42053,Pennsylvania,Forest,Forest,8,2,0,0,4,0,0
12015,Florida,Charlotte,Charlotte,fill,fill,784,673,661,717,752
12017,Florida,Citrus,Citrus,3635,2525,1799,1697,1554,1647,1832
12011,Florida,Broward,Broward,fill,1572,6687,13946,21178,54816,77360
42059,Pennsylvania,Greene,Greene,389,300,516,417,450,360,355
12013,Florida,Calhoun,Calhoun,2140,2408,1361,1243,1117,1189,1127
51115,Virginia,Matthews,Matthews,2513,2363,1993,1773,1782,1755,1662
46009,South Dakota,Bon Homme,Bon Homme,1,5,2,0,4,1,0
51111,Virginia,Lunenburg,Lunenburg,6811,7141,6223,6129,6184,5286,5051
51113,Virginia,Madison,Madison,3264,2868,2415,2162,1911,1830,1761
46003,South Dakota,Aurora,Aurora,1,1,0,1,1,4,0
42083,Pennsylvania,McKean,Mckean,251,313,217,191,80,75,120
46001,South Dakota,Armstrong,Armstrong,1,0,0,0,0,fill,fill
51119,Virginia,Middlesex,Middlesex,4636,4117,3360,2892,2813,2612,2331
46005,South Dakota,Beadle,Beadle,39,60,73,49,45,16,79
17031,Illinois,Cook,Cook,46627,115238,246992,294157,520979,861146,1180968
17033,Illinois,Crawford,Crawford,38,51,3,3,8,7,15
17035,Illinois,Cumberland,Cumberland,7,0,0,0,5,1,13
17037,Illinois,DeKalb,De Kalb,151,199,209,174,189,259,886
17039,Illinois,De Witt,De Witt,65,111,56,57,44,35,5
39065,Ohio,Hardin,Hardin,556,355,351,305,212,198,202
39063,Ohio,Hancock,Hancock,249,268,282,202,229,268,329
39061,Ohio,Hamilton,Hamilton,24300,33747,55313,64244,90083,123437,145333
2040,Alaska,Barrow,Barrow,fill,fill,fill,fill,fill,fill,20
26023,Michigan,Branch,Branch,50,40,49,53,79,225,195
26021,Michigan,Berrien,Berrien,713,808,1836,2416,7001,12688,18204
26027,Michigan,Cass,Cass,1444,1353,1176,1441,2309,3706,4093
42089,Pennsylvania,Monroe,Monroe,185,149,216,234,250,588,568
26025,Michigan,Calhoun,Calhoun,690,1939,2902,3035,6576,9922,11889
12121,Florida,Suwannee,Suwannee,7813,7947,5336,5487,4980,4064,3662
12123,Florida,Taylor,Taylor,2689,4546,4995,3684,3180,3234,3067
53023,Washington,Garfield,Garfield,7,4,0,0,3,1,0
12127,Florida,Volusia,Volusia,6592,8199,12537,14787,16349,21048,23984
5115,Arkansas,Pope,Pope,1867,1751,1320,1020,717,674,662
48261,Texas,Kenedy,Kenedy,fill,fill,0,0,0,0,0
20153,Kansas,Rawlins,Rawlins,0,0,0,0,1,0,0
