Year,Date,Event,Reference
1901,9/14/2015,"President William McKinley was assassinated by Leon Czolgosz in Buffalo, 
New York.",[53]
,9/14/2015,"Vice President Theodore Roosevelt was sworn in as president, after the 
assassination of President McKinley.",[54]
,11/18/2015,The Hay–Pauncefote Treaty was signed.,[55]
1902,1/1/2015,"The first *Rose Bowl Game* was played between the University of Michigan 
and Stanford University.",[56]
,2/19/2015,The Elkins Act was signed into law.,[57]
,,The Drago Doctrine was announced.,[58]
,6/17/2015,The Newlands Reclamation Act was signed into law.,[59]
1903,1/22/2015,The Hay–Herrán Treaty was passed.,[60]
,6/16/2015,The Ford Motor Company was formed.,[61]
,2/14/2015,The Department of Commerce and Labor was created.,[62]
,10/1/2015,"The first World Series was played between the Boston Americans and Pittsburgh 
Pirates.",[63]
,11/18/2015,The Hay–Bunau-Varilla Treaty was signed.,[64]
,12/1/2015,The movie *The Great Train Robbery* premieres.,[65]
,12/17/2015,The Wright brothers made their first powered flight in the *Wright Flyer*.,[66]
1904,,The Roosevelt Corollary to the Monroe Doctrine was issued.,[67]
,5/4/2015,"The Panama Canal Zone was acquired by the United States from France for $40 
million.",[68]
,11/8/2015,"*United States presidential election, 1904*: President Theodore Roosevelt 
was reelected to a second term, defeating New York Appeals Court Judge Alton 
B. Parker.",[69]
1905,July 11–14,The *Niagara Falls conference* was held.,[70]
,9/5/2015,"The Treaty of Portsmouth, negotiated by President Theodore Roosevelt, was 
signed, ending the Russo-Japanese War .",[71]
1906,3/13/2015,Women's suffrage and civil rights activist Susan B. Anthony died.,[72]
,4/18/2015,"The 1906 San Francisco earthquake killed over 3,400 people and destroyed 
over 80% of San Francisco; being the deadliest earthquake in American 
history.",[73][74][75]
,6/29/2015,The Hepburn Act was signed into law.,[76]
,6/30/2015,"The Pure Food and Drug Act and Meat Inspection Act were signed; 
establishing the Food and Drug Administration (FDA).",[77][78]
,12/10/2015,"President Theodore Roosevelt was awarded the Nobel Peace Prize for his role 
in negotiating the end of the Russo-Japanese war; becoming the first 
statesman to win a Nobel Prize.",[79]
1907,1/26/2015,The Tillman Act was signed into law.,[80]
,2/26/2015,The Gentlemen's Agreement of 1907 was signed.,[81]
,11/17/2015,"Oklahoma was admitted to the Union, becoming the 46th state.",[82]
,12/6/2015,"*Monongah Mining Disaster*: A coal mine exploded in Monongah, West Virginia, 
killing at least 361.",[83]
1908,5/30/2015,The Aldrich–Vreeland Act was signed into law.,[84]
,7/26/2015,The Bureau of Investigation (later the FBI) was established.,[85]
,10/1/2015,The Ford Model T appeared on the market.,[61]
,11/3/2015,"*United States presidential election, 1908*: U.S. Secretary of War William 
Howard Taft was elected President, defeating former Nebraska Representative William 
Jennings Bryan.",[86]
,11/30/2015,The Root–Takahira Agreement was reached.,[87]
1909,,William Howard Taft implemented Dollar Diplomacy.,[88]
,2/12/2015,The NAACP was founded by W. E. B. Du Bois.,[89]
,4/7/2015,Robert Peary became the first person to reach the North Pole.,[90]
,8/2/2015,The first redesigned Lincoln Penny was released to the public.,[91]
